idx,fold,true,pred,prob,top1,top3,top5,top5_with_delta
60,0,alpha-glucan,alpha-glucan,0.6100628930817609,GH13,GH13;redox;Pyr,GH13;redox;Pyr;2;38,GH13:+0.0930;redox:+0.0891;Pyr:+0.0885;2:+0.0788;38:+0.0305
62,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH13;3.A.1.1.45,LacI;GH13;3.A.1.1.45;30,LacI:+0.1808;GH13:+0.1404;3.A.1.1.45:+0.0737;30:+0.0458
64,0,alpha-glucan,beta-glucan,0.5068762278978389,3,3;BP;Peripla,3;BP;Peripla;LacI;3.A.1,3:+0.1547;BP:+0.1469;Peripla:+0.1307;LacI:+0.0414;3.A.1:+0.0125
67,0,alpha-glucan,alpha-glucan,0.9880478087649402,GH13,GH13;20;8.A.9,GH13;20;8.A.9;CBM34;3.A.1,GH13:+0.2566;20:+0.1645;8.A.9:+0.0797;CBM34:+0.0109;3.A.1:+0.0082
69,0,alpha-glucan,alpha-glucan,0.6948675308968593,GH97,GH97;8.A.9,GH97;8.A.9,GH97:+0.3246;8.A.9:+0.0657
70,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;20;CBM34,GH13;20;CBM34;3.A.1.1.26;null,GH13:+0.2380;20:+0.1139;CBM34:+0.0676;3.A.1.1.26:+0.0345;null:+0.0158
71,0,alpha-glucan,alpha-glucan,0.8670334186667196,GH13,GH13;GT5;GT35,GH13;GT5;GT35;CBM48;null,GH13:+0.1705;GT5:+0.1141;GT35:+0.0845;CBM48:+0.0519;null:+0.0101
83,0,alpha-glucan,alpha-glucan,0.9982618233405173,GH13,GH13;18;null,GH13;18;null,GH13:+0.2342;18:+0.1587;null:+0.0243
90,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;LacI;31,GH13;LacI;31,GH13:+0.2155;LacI:+0.1885;31:+0.1074
96,0,alpha-glucan,alpha-glucan,0.998500228401874,GH13,GH13;GH97;null,GH13;GH97;null;1.B.14.6.1;8.A.46.1.1,GH13:+0.1465;GH97:+0.1377;null:+0.0361;1.B.14.6.1:+0.0268;8.A.46.1.1:+0.0202
100,0,alpha-glucan,alpha-glucan,1.0,GH31,GH31;8.A.46.1.5;GH66,GH31;8.A.46.1.5;GH66;null,GH31:+0.2035;8.A.46.1.5:+0.1909;GH66:+0.1641;null:+0.0158
103,0,alpha-glucan,alpha-glucan,1.0,2.A.1.5.3,2.A.1.5.3;GH32,2.A.1.5.3;GH32,2.A.1.5.3:+0.3492;GH32:+0.3246
109,0,alpha-glucan,alpha-glucan,1.0,GH32,GH32;3.A.1.1.10;bac,GH32;3.A.1.1.10;bac;SBP;1,GH32:+0.2666;3.A.1.1.10:+0.1936;bac:+0.0433;SBP:+0.0315;1:+0.0060
115,0,alpha-glucan,alpha-glucan,0.695728718256187,GH97,GH97;GH13;GH31,GH97;GH13;GH31;1.B.14;38,GH97:+0.2212;GH13:+0.1084;GH31:+0.0376;1.B.14:+0.0111;38:+0.0005
118,0,alpha-glucan,alpha-glucan,0.9919028340080972,GH97,GH97;GH13;1.B.14.6.1,GH97;GH13;1.B.14.6.1;null,GH97:+0.2737;GH13:+0.2369;1.B.14.6.1:+0.0334;null:+0.0083
127,0,alpha-glucan,alpha-glucan,0.9240433747900524,LacI,LacI;GH77;GT35,LacI;GH77;GT35,LacI:+0.2436;GH77:+0.1743;GT35:+0.1078
128,0,alpha-glucan,alpha-glucan,0.9347690970555389,LacI,LacI;GH77;GT35,LacI;GH77;GT35;3.A.1.1.27,LacI:+0.2040;GH77:+0.1477;GT35:+0.0962;3.A.1.1.27:+0.0107
136,0,alpha-glucan,fructan,1.0,3.A.1.1.10,3.A.1.1.10;3.A.1.1.29;GH32,3.A.1.1.10;3.A.1.1.29;GH32;null;LacI,3.A.1.1.10:+1.0000;3.A.1.1.29:+1.0000;GH32:+0.2210;null:+0.1786;LacI:+0.1763
144,0,alpha-glucan,alpha-glucan,0.6104129120906475,GH13,GH13;LacI,GH13;LacI,GH13:+0.2667;LacI:+0.0563
150,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;20;CBM34,GH13;20;CBM34;31;3.A.1.1.27,GH13:+0.1418;20:+0.0733;CBM34:+0.0674;31:+0.0638;3.A.1.1.27:+0.0596
152,0,alpha-glucan,alpha-glucan,0.8673601957307185,GH13,GH13;CBM34;3.A.1.1.45,GH13;CBM34;3.A.1.1.45;CBM20;39,GH13:+0.2525;CBM34:+0.0322;3.A.1.1.45:+0.0287;CBM20:+0.0096;39:+0.0061
160,0,alpha-glucan,alpha-glucan,0.6043845095097858,GH13,GH13;36;null,GH13;36;null;1.B.14;7,GH13:+0.1895;36:+0.0614;null:+0.0393;1.B.14:+0.0217;7:+0.0184
167,0,alpha-glucan,fructan,1.0,3.A.1.1.10,3.A.1.1.10;3.A.1.1.29;GH32,3.A.1.1.10;3.A.1.1.29;GH32;null;LacI,3.A.1.1.10:+1.0000;3.A.1.1.29:+1.0000;GH32:+0.2210;null:+0.1786;LacI:+0.1763
170,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;GT5;9,GH13;GT5;9;CBM48;GT35,GH13:+0.1119;GT5:+0.0573;9:+0.0347;CBM48:+0.0207;GT35:+0.0162
173,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;redox;1,GH13;redox;1;Pyr;2,GH13:+0.1745;redox:+0.1027;1:+0.0796;Pyr:+0.0775;2:+0.0676
177,0,alpha-mannan,alpha-mannan,0.9558201347475377,GH125,GH125;GH1;GH38,GH125;GH1;GH38;GntR;GH84,GH125:+0.2757;GH1:+0.2676;GH38:+0.2384;GntR:+0.2325;GH84:+0.2181
185,0,alpha-mannan,alpha-mannan,0.8286671708467367,GH99,GH99;GH92;null,GH99;GH92;null,GH99:+0.3227;GH92:+0.2697;null:+0.1294
187,0,alpha-mannan,alpha-mannan,0.9460199156997262,GH92,GH92;null;1.B.14.6.1,GH92;null;1.B.14.6.1;9.B.14.1.10,GH92:+0.4235;null:+0.3125;1.B.14.6.1:+0.1548;9.B.14.1.10:+0.0387
192,0,alpha-mannan,alpha-mannan,0.5327029817591079,GH125,GH125;GH92;LacI,GH125;GH92;LacI;GH76;GH2,GH125:+0.1902;GH92:+0.1158;LacI:+0.0996;GH76:+0.0993;GH2:+0.0694
201,0,arabinogalactan,arabinogalactan,0.29483058259595396,2.A.3,2.A.3;9.B.28;GH43,2.A.3;9.B.28;GH43;HTH;22,2.A.3:+0.1023;9.B.28:+0.0803;GH43:+0.0456;HTH:+0.0451;22:+0.0330
207,0,arabinogalactan,pectin,0.30703027382599973,GH146,GH146;1.B.14;null,GH146;1.B.14;null;29,GH146:+0.1086;1.B.14:+0.0394;null:+0.0322;29:+0.0277
210,0,arabinogalactan,arabinogalactan,0.968,1.B.14.6.1,1.B.14.6.1;CBM32;3,1.B.14.6.1;CBM32;3;GH16;HTH,1.B.14.6.1:+0.2052;CBM32:+0.1983;3:+0.1873;GH16:+0.1636;HTH:+0.1473
217,0,arabinogalactan,arabinogalactan,0.998939609170237,3.A.1.1.34,3.A.1.1.34;GH51;1,3.A.1.1.34;GH51;1;null,3.A.1.1.34:+0.3542;GH51:+0.3094;1:+0.2351;null:+0.0948
219,0,arabinogalactan,arabinogalactan,0.28433643565257943,GH51,GH51;null,GH51;null,GH51:+0.2784;null:+0.0811
220,0,arabinogalactan,pectin,0.5728157436177587,GH146,GH146;NUDIX;2.A.21,GH146;NUDIX;2.A.21;29;GH51,GH146:+0.1759;NUDIX:+0.1648;2.A.21:+0.1247;29:+0.1020;GH51:+0.0949
221,0,arabinogalactan,host glycan,0.30630630630630634,GH2,GH2;1.B.14.6.1;AraC,GH2;1.B.14.6.1;AraC;HTH,GH2:+0.1885;1.B.14.6.1:+0.0493;AraC:+0.0282;HTH:+0.0184
241,0,beta-glucan,beta-glucan,0.8115384615384614,GH5,GH5;4;GH31,GH5;4;GH31;GH3;AraC,GH5:+0.2119;4:+0.1918;GH31:+0.1323;GH3:+0.0806;AraC:+0.0654
245,0,beta-glucan,beta-glucan,1.0,GH1,GH1;GH3;LacI,GH1;GH3;LacI;3;GH16,GH1:+0.1419;GH3:+0.0930;LacI:+0.0926;3:+0.0735;GH16:+0.0549
249,0,beta-glucan,beta-glucan,0.863483875091314,GH1,GH1;LacI;4.A.3.2.7,GH1;LacI;4.A.3.2.7;Glucokinase;4.A.3.2.6,GH1:+0.3909;LacI:+0.2385;4.A.3.2.7:+0.1070;Glucokinase:+0.0777;4.A.3.2.6:+0.0196
252,0,beta-glucan,beta-glucan,0.46714447151432337,GH95,GH95;GH30;CE6,GH95;GH30;CE6;GH62;CBM32,GH95:+0.1386;GH30:+0.1344;CE6:+0.0880;GH62:+0.0825;CBM32:+0.0803
254,0,beta-glucan,beta-glucan,0.46719276103864155,CBM4,CBM4;null,CBM4;null,CBM4:+0.3991;null:+0.0143
258,0,beta-glucan,beta-glucan,0.9959919839679359,GH16,GH16;8.A.46;1.B.14,GH16;8.A.46;1.B.14;GerE;null,GH16:+0.2761;8.A.46:+0.1228;1.B.14:+0.0572;GerE:+0.0332;null:+0.0221
268,0,beta-glucan,beta-glucan,1.0,GH3,GH3;3;GH16,GH3;3;GH16;8.A.46.2.1;1.B.14.6.2,GH3:+0.2246;3:+0.1718;GH16:+0.1539;8.A.46.2.1:+0.1393;1.B.14.6.2:+0.0467
269,0,beta-glucan,beta-mannan,0.523648494304542,1,1;1.B.14.6.1;GH26,1;1.B.14.6.1;GH26;GH130;CE7,1:+0.0967;1.B.14.6.1:+0.0783;GH26:+0.0737;GH130:+0.0526;CE7:+0.0208
271,0,beta-glucan,beta-glucan,0.689840572673292,3,3;GH30;CBM57,3;GH30;CBM57;null;1.B.14.6.1,3:+0.1838;GH30:+0.1374;CBM57:+0.1096;null:+0.0669;1.B.14.6.1:+0.0396
278,0,beta-glucan,beta-glucan,0.5816498070236635,GH5,GH5;4;GH105,GH5;4;GH105;null,GH5:+0.1472;4:+0.1449;GH105:+0.0700;null:+0.0054
282,0,beta-glucan,beta-glucan,1.0,GH3,GH3;GH158;3,GH3;GH158;3;GerE;GH16,GH3:+0.2063;GH158:+0.0681;3:+0.0460;GerE:+0.0337;GH16:+0.0337
289,0,beta-glucan,beta-glucan,0.9681808002904718,4,4;GH31;GH3,4;GH31;GH3;GH5;GH2,4:+0.1709;GH31:+0.1393;GH3:+0.1307;GH5:+0.1114;GH2:+0.0793
302,0,beta-glucan,beta-mannan,0.3574236435306428,7,7;GH26;GH5,7;GH26;GH5;null,7:+0.1402;GH26:+0.1109;GH5:+0.0629;null:+0.0187
306,0,beta-glucan,beta-glucan,0.7785682713738914,GH9,GH9;CBM3,GH9;CBM3,GH9:+0.2974;CBM3:+0.0639
309,0,beta-glucan,beta-glucan,1.0,GH8,GH8;4.D.3.1.6,GH8;4.D.3.1.6,GH8:+0.1373;4.D.3.1.6:+0.0319
312,0,beta-glucan,beta-glucan,1.0,GH4,GH4;4.A.3.2.2;Mga,GH4;4.A.3.2.2;Mga;11;HTH,GH4:+0.3407;4.A.3.2.2:+0.3079;Mga:+0.2679;11:+0.2657;HTH:+0.2072
315,0,beta-glucan,beta-glucan,1.0,3,3;GH3;GH30,3;GH3;GH30;7;HTH,3:+0.2341;GH3:+0.1916;GH30:+0.1656;7:+0.1066;HTH:+0.0730
319,0,beta-glucan,beta-glucan,1.0,GH3,GH3;8.A.46.2.1;1.B.14.6.2,GH3;8.A.46.2.1;1.B.14.6.2;3;GH16,GH3:+0.2249;8.A.46.2.1:+0.1953;1.B.14.6.2:+0.1751;3:+0.1677;GH16:+0.1364
330,0,beta-glucan,beta-glucan,1.0,4.A.1.2.2,4.A.1.2.2;GH1,4.A.1.2.2;GH1,4.A.1.2.2:+0.4654;GH1:+0.3110
333,0,beta-glucan,beta-glucan,1.0,GH73,GH73;9.B.154.1.2;null,GH73;9.B.154.1.2;null;Peptidase;M23,GH73:+0.1907;9.B.154.1.2:+0.0754;null:+0.0748;Peptidase:+0.0251;M23:+0.0040
334,0,beta-glucan,beta-glucan,1.0,GH73,GH73;null;9.B.154.1.2,GH73;null;9.B.154.1.2,GH73:+0.1863;null:+0.0748;9.B.154.1.2:+0.0662
341,0,beta-glucan,beta-glucan,0.7716981132075471,GH31,GH31;3;GH9,GH31;3;GH9;null;9.B.27.3.1,GH31:+0.1293;3:+0.1249;GH9:+0.0879;null:+0.0522;9.B.27.3.1:+0.0374
342,0,beta-glucan,beta-glucan,0.8652173913043477,GH5,GH5;GH31;4,GH5;GH31;4;null;GH26,GH5:+0.1165;GH31:+0.0978;4:+0.0840;null:+0.0192;GH26:+0.0137
347,0,beta-glucan,beta-glucan,0.9981394586877919,GH5,GH5;4;AraC,GH5;4;AraC;HTH;GH36,GH5:+0.2600;4:+0.2061;AraC:+0.1517;HTH:+0.1243;GH36:+0.1100
349,0,beta-glucan,beta-glucan,1.0,GH73,GH73;9.B.154.1.2;null,GH73;9.B.154.1.2;null;Peptidase;M23,GH73:+0.1907;9.B.154.1.2:+0.0754;null:+0.0748;Peptidase:+0.0251;M23:+0.0040
357,0,beta-mannan,beta-mannan,1.0,LacI,LacI;2.A.2.2.3;GH2,LacI;2.A.2.2.3;GH2,LacI:+1.0000;2.A.2.2.3:+0.6208;GH2:+0.4273
361,0,beta-mannan,beta-mannan,0.998,GH29,GH29;HTH;AraC,GH29;HTH;AraC;C;2.A.1.14.25,GH29:+0.2181;HTH:+0.2015;AraC:+0.1838;C:+0.1763;2.A.1.14.25:+0.1536
362,0,beta-mannan,beta-mannan,1.0,GH29,GH29;HTH;C,GH29;HTH;C;AraC;2.A.1.14.25,GH29:+0.1940;HTH:+0.1804;C:+0.1478;AraC:+0.1421;2.A.1.14.25:+0.1138
372,0,beta-mannan,beta-mannan,0.29651868149945504,GH26,GH26;4.A.3;null,GH26;4.A.3;null,GH26:+0.1085;4.A.3:+0.0434;null:+0.0163
376,0,beta-mannan,beta-mannan,0.9306122448979591,LacI,LacI;GH130;1,LacI;GH130;1;9.B.28.1.2;3.A.1.1.46,LacI:+0.2037;GH130:+0.1855;1:+0.0954;9.B.28.1.2:+0.0907;3.A.1.1.46:+0.0894
377,0,beta-mannan,beta-mannan,0.9007936320140838,GH130,GH130;GH26;GH5,GH130;GH26;GH5;HTH;2,GH130:+0.1361;GH26:+0.1125;GH5:+0.1100;HTH:+0.0795;2:+0.0648
380,0,beta-mannan,beta-mannan,0.5706328699187597,GH130,GH130;CE7;GH27,GH130;CE7;GH27,GH130:+0.1993;CE7:+0.0695;GH27:+0.0027
382,0,beta-mannan,beta-mannan,1.0,31,31;LacI;GH13,31;LacI;GH13;GH32;4.A.1.2.12,31:+0.6329;LacI:+0.5306;GH13:+0.4547;GH32:+0.3783;4.A.1.2.12:+0.3156
384,0,beta-mannan,beta-mannan,0.3887443745892516,GH130,GH130;GH113;LacI,GH130;GH113;LacI;CE2;1,GH130:+0.2073;GH113:+0.0441;LacI:+0.0348;CE2:+0.0189;1:+0.0178
391,0,beta-mannan,beta-glucan,0.4078038539790324,GH3,GH3,GH3,GH3:+0.1734
397,0,beta-mannan,galactan,0.36923295966456976,GH42,GH42;3.A.1,GH42;3.A.1,GH42:+0.3263;3.A.1:+0.0920
408,0,beta-mannan,beta-mannan,0.43961790007429274,GH42,GH42;LacI;GH35,GH42;LacI;GH35;null;3.A.1,GH42:+0.1816;LacI:+0.1562;GH35:+0.1498;null:+0.1366;3.A.1:+0.0262
423,0,beta-mannan,galactan,0.7570248048520829,LacI,LacI;GH42;SBP,LacI;GH42;SBP;bac;1,LacI:+0.3635;GH42:+0.3196;SBP:+0.1660;bac:+0.1468;1:+0.1325
433,0,chitin,chitin,0.9297872340425531,GH4,GH4;null;4.A.3.2.1,GH4;null;4.A.3.2.1;4.A.3.2.7,GH4:+0.4019;null:+0.1289;4.A.3.2.1:+0.1101;4.A.3.2.7:+0.0846
434,0,chitin,chitin,0.8963208884391685,4.A.3.2.5,4.A.3.2.5;GH1;AraC,4.A.3.2.5;GH1;AraC;HTH,4.A.3.2.5:+0.4134;GH1:+0.3690;AraC:+0.3520;HTH:+0.3011
435,0,chitin,chitin,0.9984276389027259,AraC,AraC;4.A.3.2.5;HTH,AraC;4.A.3.2.5;HTH;GH1;null,AraC:+0.4900;4.A.3.2.5:+0.4812;HTH:+0.4441;GH1:+0.4003;null:+0.1021
439,0,chitin,chitin,1.0,AA10,AA10;GH18;1,AA10;GH18;1;HTH;1.E.2.1.11,AA10:+0.3379;GH18:+0.1742;1:+0.1353;HTH:+0.0982;1.E.2.1.11:+0.0435
447,0,chitin,chitin,0.4771516139550049,GH18,GH18;CBM5,GH18;CBM5,GH18:+0.2354;CBM5:+0.1395
450,0,chitin,chitin,1.0,GH20,GH20;1.B.25.1.13;null,GH20;1.B.25.1.13;null,GH20:+0.4396;1.B.25.1.13:+0.4207;null:+0.1941
452,0,chitin,chitin,1.0,GH4,GH4;4.A.3.2.7;null,GH4;4.A.3.2.7;null;4.A.3.2.1,GH4:+0.4312;4.A.3.2.7:+0.2122;null:+0.1314;4.A.3.2.1:+0.0369
453,0,chitin,chitin,1.0,CE4,CE4;GH4;4.A.3.2.6,CE4;GH4;4.A.3.2.6,CE4:+0.3833;GH4:+0.3576;4.A.3.2.6:+0.2260
464,0,chitin,chitin,1.0,GH4,GH4;4.A.3.2.7;null,GH4;4.A.3.2.7;null;AraC;HTH,GH4:+0.4279;4.A.3.2.7:+0.4118;null:+0.1403;AraC:+0.0546;HTH:+0.0513
472,0,chitin,chitin,0.5364238410596025,GH20,GH20;PAS;HisKA,GH20;PAS;HisKA;Response;HATPase,GH20:+0.1158;PAS:+0.1051;HisKA:+0.0732;Response:+0.0546;HATPase:+0.0530
474,0,chitin,chitin,0.8095238095238095,GH4,GH4;4.A.3.2.1;AraC,GH4;4.A.3.2.1;AraC;HTH;4.A.3.2.7,GH4:+0.3367;4.A.3.2.1:+0.2446;AraC:+0.0792;HTH:+0.0348;4.A.3.2.7:+0.0220
477,0,chitin,chitin,1.0,GH4,GH4;4.A.3.2.1;HTH,GH4;4.A.3.2.1;HTH;AraC,GH4:+0.3753;4.A.3.2.1:+0.3299;HTH:+0.0908;AraC:+0.0901
483,0,chitin,chitin,1.0,4.A.3.2.7,4.A.3.2.7;GH4;AraC,4.A.3.2.7;GH4;AraC;HTH,4.A.3.2.7:+0.4118;GH4:+0.3841;AraC:+0.0450;HTH:+0.0204
491,0,fructan,alpha-glucan,0.5291666666666667,GH32,GH32;LacI,GH32;LacI,GH32:+0.2880;LacI:+0.2709
498,0,fructan,fructan,1.0,GH32,GH32;2.A.1.7.17;1.B.14.6.1,GH32;2.A.1.7.17;1.B.14.6.1;PfkB;null,GH32:+0.2793;2.A.1.7.17:+0.0720;1.B.14.6.1:+0.0344;PfkB:+0.0309;null:+0.0279
502,0,fructan,fructan,0.49977032613688566,GH68,GH68;GH32,GH68;GH32,GH68:+0.3635;GH32:+0.1259
507,0,fructan,fructan,1.0,3.A.1.1.10,3.A.1.1.10;3.A.1.1.29;GH32,3.A.1.1.10;3.A.1.1.29;GH32;null;LacI,3.A.1.1.10:+1.0000;3.A.1.1.29:+1.0000;GH32:+0.2210;null:+0.1786;LacI:+0.1763
508,0,fructan,alpha-glucan,0.9152542372881355,GH32,GH32;LacI,GH32;LacI,GH32:+0.3853;LacI:+0.3060
514,0,fructan,alpha-glucan,0.4051383399209486,GH32,GH32;LacI,GH32;LacI,GH32:+0.1351;LacI:+0.0920
523,0,galactan,galactan,1.0,GH4,GH4;HTH;AraC,GH4;HTH;AraC,GH4:+0.4156;HTH:+0.2825;AraC:+0.2797
524,0,galactan,galactan,1.0,3.A.1.1.28,3.A.1.1.28;GH36;MarR,3.A.1.1.28;GH36;MarR;null;SBP,3.A.1.1.28:+0.2474;GH36:+0.2179;MarR:+0.1329;null:+0.0458;SBP:+0.0301
528,0,galactan,galactan,0.5615005540079856,3.A.1.1.2,3.A.1.1.2;GH42;LacI,3.A.1.1.2;GH42;LacI,3.A.1.1.2:+0.3330;GH42:+0.1554;LacI:+0.1400
544,0,galactan,pectin,1.0,HTH,HTH;GH53;GH147,HTH;GH53;GH147;AraC;8.A.46,HTH:+0.3282;GH53:+0.3247;GH147:+0.3187;AraC:+0.3149;8.A.46:+0.2892
545,0,galactan,pectin,0.6497797356828194,GH53,GH53;HTH;AraC,GH53;HTH;AraC;8.A.46;GH2,GH53:+0.3134;HTH:+0.2528;AraC:+0.2328;8.A.46:+0.2257;GH2:+0.1761
553,0,galactan,beta-glucan,0.44302638774752223,BP,BP;3;Peripla,BP;3;Peripla;LacI;3.A.1,BP:+0.1171;3:+0.1135;Peripla:+0.1107;LacI:+0.0284;3.A.1:+0.0114
554,0,galactan,galactan,0.5108695652173914,GH16,GH16;GH117;null,GH16;GH117;null;GH29;16,GH16:+0.0915;GH117:+0.0574;null:+0.0510;GH29:+0.0452;16:+0.0373
555,0,galactan,galactan,0.5692567567567567,GH16,GH16;null;GH117,GH16;null;GH117;GH86;GH2,GH16:+0.1291;null:+0.0724;GH117:+0.0693;GH86:+0.0520;GH2:+0.0423
561,0,galactan,galactan,0.5714285714285715,GH53,GH53;8.A.46.1.1;HTH,GH53;8.A.46.1.1;HTH;AraC;1.B.14.6.1,GH53:+0.3990;8.A.46.1.1:+0.1784;HTH:+0.1344;AraC:+0.1187;1.B.14.6.1:+0.0507
566,0,galactan,galactan,0.4910812442283937,3.A.1.1.28,3.A.1.1.28;18;GH36,3.A.1.1.28;18;GH36;GH13;31,3.A.1.1.28:+0.2032;18:+0.1429;GH36:+0.1259;GH13:+0.0635;31:+0.0508
570,0,galactan,galactan,0.5374677002583979,null,null;GntR;GH16,null;GntR;GH16;2.A.1;1.B.14,null:+0.2308;GntR:+0.2237;GH16:+0.1485;2.A.1:+0.1003;1.B.14:+0.0854
574,0,galactan,galactan,0.9165009940357853,42,42;1;TPR,42;1;TPR;GH5;null,42:+0.3968;1:+0.2255;TPR:+0.1960;GH5:+0.1754;null:+0.0398
577,0,galactan,galactan,0.6015127603430702,GH129,GH129;GH127;HTH,GH129;GH127;HTH;AraC;null,GH129:+0.2241;GH127:+0.1490;HTH:+0.0980;AraC:+0.0557;null:+0.0446
578,0,galactan,galactan,0.5019990586956627,GntR,GntR;null;GH16,GntR;null;GH16;2.A.1;HTH,GntR:+0.2039;null:+0.1536;GH16:+0.1500;2.A.1:+0.1127;HTH:+0.0554
588,0,galactan,galactan,0.6995125406918885,null,null;GH42;LacI,null;GH42;LacI;bac;SBP,null:+0.5608;GH42:+0.2489;LacI:+0.2193;bac:+0.1396;SBP:+0.1386
592,0,host glycan,host glycan,0.46723192373459493,GH20,GH20,GH20,GH20:+0.2069
601,0,host glycan,host glycan,0.8951456310679612,GH20,GH20;GH33;GH2,GH20;GH33;GH2;CBM93;GH29,GH20:+0.0478;GH33:+0.0388;GH2:+0.0377;CBM93:+0.0300;GH29:+0.0230
607,0,host glycan,host glycan,0.9324753393180243,GH18,GH18;8.A.46;1.B.14,GH18;8.A.46;1.B.14;null,GH18:+0.5005;8.A.46:+0.2034;1.B.14:+0.0892;null:+0.0441
612,0,host glycan,host glycan,1.0,DeoR,DeoR;PfkB;GH31,DeoR;PfkB;GH31;1.B.35.2.2;13,DeoR:+0.2062;PfkB:+0.1600;GH31:+0.1583;1.B.35.2.2:+0.1368;13:+0.1204
618,0,host glycan,host glycan,0.3643057609318888,null,null;3.A.1.1.48,null;3.A.1.1.48,null:+0.0998;3.A.1.1.48:+0.0207
626,0,host glycan,host glycan,1.0,CE9,CE9;GntR;SIS,CE9;GntR;SIS;4.A.6.1.18;GH35,CE9:+0.4004;GntR:+0.1194;SIS:+0.1161;4.A.6.1.18:+0.0711;GH35:+0.0100
633,0,host glycan,host glycan,1.0,GH2,GH2;1.C.39.4.5;GH20,GH2;1.C.39.4.5;GH20;2.A.115.1.2;1.B.14.6.1,GH2:+0.1292;1.C.39.4.5:+0.0891;GH20:+0.0853;2.A.115.1.2:+0.0755;1.B.14.6.1:+0.0393
635,0,host glycan,host glycan,0.6699410609037328,CBM67,CBM67;2.A.4.7.2;GH78,CBM67;2.A.4.7.2;GH78;AraC;null,CBM67:+0.1555;2.A.4.7.2:+0.1257;GH78:+0.1181;AraC:+0.1037;null:+0.1030
636,0,host glycan,host glycan,1.0,GH97,GH97;CBM67;GH3,GH97;CBM67;GH3;GH78;AraC,GH97:+0.2425;CBM67:+0.2137;GH3:+0.2046;GH78:+0.1964;AraC:+0.1953
637,0,host glycan,host glycan,0.50774702419703,CBM67,CBM67;null;GH78,CBM67;null;GH78;AraC;2.A.4.7.9,CBM67:+0.1350;null:+0.1019;GH78:+0.0821;AraC:+0.0443;2.A.4.7.9:+0.0293
639,0,host glycan,host glycan,0.9860834990059641,GH88,GH88;PL12;PfkB,GH88;PL12;PfkB;null;PL8,GH88:+0.2109;PL12:+0.0716;PfkB:+0.0691;null:+0.0292;PL8:+0.0253
654,0,host glycan,host glycan,1.0,CBM93,CBM93;GH20;GH33,CBM93;GH20;GH33;CE20;GH2,CBM93:+0.0653;GH20:+0.0641;GH33:+0.0617;CE20:+0.0316;GH2:+0.0297
655,0,host glycan,host glycan,1.0,CE9,CE9;MarR,CE9;MarR,CE9:+0.5421;MarR:+0.0201
661,0,host glycan,host glycan,1.0,GH18,GH18;8.A.46.2.2;FecR,GH18;8.A.46.2.2;FecR;1.B.14.6.13;null,GH18:+0.0844;8.A.46.2.2:+0.0405;FecR:+0.0289;1.B.14.6.13:+0.0239;null:+0.0179
