idx,fold,true,pred,prob_true,top1,top3,top5,top5_with_delta
466,0,chitin,chitin,0.9350623631575051,AA10,AA10;GH18;1.E.2,AA10;GH18;1.E.2;HTH,AA10:+0.3554;GH18:+0.2019;1.E.2:+0.1510;HTH:+0.1125
470,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH,4.A.3:+0.7344;GH4:+0.2921;AraC:+0.2108;HTH:+0.0783
474,0,chitin,chitin,0.9377023156626391,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH,4.A.3:+0.6813;GH4:+0.2691;AraC:+0.2004;HTH:+0.0160
481,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;null,4.A.3;GH4;null,4.A.3:+0.6903;GH4:+0.6041;null:+0.1642
485,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH,4.A.3:+0.6215;GH4:+0.3156;AraC:+0.1329;HTH:+0.0398
486,0,chitin,galactan,0.021943573667711595,SIS,SIS,SIS,SIS:+0.0219
489,0,fructan,fructan,0.9982138527838663,GH68,GH68;2.A.3;GH32,GH68;2.A.3;GH32,GH68:+0.4170;2.A.3:+0.3373;GH32:+0.3341
495,0,fructan,fructan,1.0,GH32,GH32;1.B.14;null,GH32;1.B.14;null,GH32:+0.8216;1.B.14:+0.3769;null:+0.2474
504,0,fructan,fructan,0.8183807439824945,GH32,GH32;HTH;2.A.1,GH32;HTH;2.A.1;AraC;PfkB,GH32:+0.3929;HTH:+0.0783;2.A.1:+0.0771;AraC:+0.0768;PfkB:+0.0327
507,0,fructan,fructan,0.5019099745600929,3.A.1,3.A.1;GH32;null,3.A.1;GH32;null,3.A.1:+0.4233;GH32:+0.1454;null:+0.0127
511,0,fructan,fructan,1.0,GH32,GH32;1.B.14;null,GH32;1.B.14;null,GH32:+0.8216;1.B.14:+0.3769;null:+0.2474
513,0,fructan,fructan,0.9982138527838663,null,null;4.A.1;LacI,null;4.A.1;LacI;GH32,null:+0.9982;4.A.1:+0.7855;LacI:+0.6755;GH32:+0.4570
520,0,galactan,galactan,0.6871317405957611,GH16,GH16;1.B.14;null,GH16;1.B.14;null,GH16:+0.5874;1.B.14:+0.2264;null:+0.0458
523,0,galactan,galactan,1.0,GH4,GH4;HTH;AraC,GH4;HTH;AraC,GH4:+0.4785;HTH:+0.3479;AraC:+0.3479
537,0,galactan,galactan,0.6907920219064652,null,null;GH16;GntR,null;GH16;GntR;2.A.1;HTH,null:+0.1774;GH16:+0.1762;GntR:+0.1410;2.A.1:+0.1192;HTH:+0.0157
542,0,galactan,galactan,0.9912356405839348,GH2,GH2;GH53;HTH,GH2;GH53;HTH;AraC;8.A.46,GH2:+0.3603;GH53:+0.3596;HTH:+0.3245;AraC:+0.3032;8.A.46:+0.2825
547,0,galactan,host glycan,0.3595041322314049,GH117,GH117;null;MarR,GH117;null;MarR,GH117:+0.1753;null:+0.0804;MarR:+0.0087
549,0,galactan,galactan,0.5341895491699501,GH36,GH36;3.A.1,GH36;3.A.1,GH36:+0.3818;3.A.1:+0.1895
550,0,galactan,galactan,1.0,GH4,GH4;LacI;CE19,GH4;LacI;CE19;bac;3.A.1,GH4:+0.4681;LacI:+0.4016;CE19:+0.3303;bac:+0.2075;3.A.1:+0.2057
554,0,galactan,galactan,1.0,GH16,GH16;null;1.B.14,GH16;null;1.B.14;GH154;GH29,GH16:+0.2197;null:+0.1481;1.B.14:+0.1464;GH154:+0.1309;GH29:+0.1293
561,0,galactan,galactan,0.44408176915797876,GH53,GH53;AraC;HTH,GH53;AraC;HTH;8.A.46,GH53:+0.3841;AraC:+0.2392;HTH:+0.2344;8.A.46:+0.0478
563,0,galactan,beta-mannan,0.47416436375377424,2.A.2,2.A.2;GH2,2.A.2;GH2,2.A.2:+0.2024;GH2:+0.1596
565,0,galactan,galactan,1.0,GH42,GH42;LacI;3.A.1,GH42;LacI;3.A.1,GH42:+0.8613;LacI:+0.7410;3.A.1:+0.6148
567,0,galactan,galactan,1.0,GH42,GH42;LacI;3.A.1,GH42;LacI;3.A.1,GH42:+0.8613;LacI:+0.7410;3.A.1:+0.6148
580,0,galactan,galactan,0.5064456721915286,GH110,GH110;null;1.B.14,GH110;null;1.B.14,GH110:+0.4962;null:+0.0952;1.B.14:+0.0845
589,0,galactan,galactan,0.9071146245059288,TPR,TPR;GH5;null,TPR;GH5;null,TPR:+0.8925;GH5:+0.3063;null:+0.0202
590,0,galactan,galactan,0.8773946360153256,TPR,TPR;GH5;null,TPR;GH5;null,TPR:+0.8628;GH5:+0.2957;null:+0.0177
592,0,host glycan,host glycan,1.0,GH20,GH20,GH20,GH20:+0.7124
593,0,host glycan,host glycan,0.9616935483870968,GH2,GH2;GH20;CBM32,GH2;GH20;CBM32;GH18;1.A.23,GH2:+0.1250;GH20:+0.1084;CBM32:+0.0801;GH18:+0.0721;1.A.23:+0.0659
607,0,host glycan,host glycan,1.0,8.A.46,8.A.46;GH18;null,8.A.46;GH18;null,8.A.46:+0.4978;GH18:+0.4768;null:+0.0861
608,0,host glycan,host glycan,0.9753593429158111,8.A.46,8.A.46;GH18;null,8.A.46;GH18;null;1.B.14,8.A.46:+0.4739;GH18:+0.3981;null:+0.0615;1.B.14:+0.0019
611,0,host glycan,host glycan,1.0,DeoR,DeoR;PfkB;GH31,DeoR;PfkB;GH31;1.B.35;HTH,DeoR:+0.3254;PfkB:+0.2483;GH31:+0.1851;1.B.35:+0.1718;HTH:+0.1375
612,0,host glycan,host glycan,1.0,DeoR,DeoR;PfkB;GH31,DeoR;PfkB;GH31;1.B.35;HTH,DeoR:+0.3246;PfkB:+0.2493;GH31:+0.1960;1.B.35:+0.1776;HTH:+0.1343
618,0,host glycan,host glycan,0.2531918595641625,null,null;GH95;3.A.1,null;GH95;3.A.1,null:+0.0874;GH95:+0.0311;3.A.1:+0.0267
621,0,host glycan,host glycan,1.0,CE9,CE9;4.A.1,CE9;4.A.1,CE9:+0.8278;4.A.1:+0.0456
623,0,host glycan,beta-mannan,0.3919465851649146,4.A.3,4.A.3;GH1,4.A.3;GH1,4.A.3:+0.0308;GH1:+0.0032
625,0,host glycan,host glycan,1.0,GH88,GH88;4.A.6;PfkB,GH88;4.A.6;PfkB;null;Nitroreductase,GH88:+0.3002;4.A.6:+0.1678;PfkB:+0.0943;null:+0.0777;Nitroreductase:+0.0481
626,0,host glycan,host glycan,1.0,CE9,CE9;GntR;4.A.6,CE9;GntR;4.A.6;SIS;GH35,CE9:+0.3248;GntR:+0.0811;4.A.6:+0.0681;SIS:+0.0592;GH35:+0.0080
632,0,host glycan,host glycan,0.9065040650406504,8.A.46,8.A.46;GH18;null,8.A.46;GH18;null;FecR,8.A.46:+0.2716;GH18:+0.2531;null:+0.0853;FecR:+0.0770
639,0,host glycan,host glycan,1.0,GH88,GH88;4.A.6;null,GH88;4.A.6;null;PfkB;PL12,GH88:+0.1935;4.A.6:+0.0863;null:+0.0352;PfkB:+0.0314;PL12:+0.0280
642,0,host glycan,host glycan,1.0,GH33,GH33;CBM93;GH20,GH33;CBM93;GH20;CE20;GH2,GH33:+0.0851;CBM93:+0.0819;GH20:+0.0731;CE20:+0.0488;GH2:+0.0379
643,0,host glycan,host glycan,1.0,GH20,GH20;CBM93;GH33,GH20;CBM93;GH33;CE20;GH2,GH20:+0.1088;CBM93:+0.0958;GH33:+0.0784;CE20:+0.0734;GH2:+0.0467
644,0,host glycan,host glycan,0.9702970297029703,CBM93,CBM93;GH20;GH33,CBM93;GH20;GH33;CE20;GH2,CBM93:+0.1246;GH20:+0.1153;GH33:+0.0970;CE20:+0.0666;GH2:+0.0520
652,0,host glycan,host glycan,1.0,CE9,CE9;GH20;GH2,CE9;GH20;GH2;GH92;CE3,CE9:+0.1096;GH20:+0.0760;GH2:+0.0681;GH92:+0.0380;CE3:+0.0224
660,0,host glycan,host glycan,1.0,GH18,GH18;8.A.46;FecR,GH18;8.A.46;FecR;null;1.B.14,GH18:+0.2339;8.A.46:+0.2301;FecR:+0.1573;null:+0.0426;1.B.14:+0.0158
662,0,host glycan,host glycan,1.0,GH18,GH18;8.A.46;FecR,GH18;8.A.46;FecR;null;GerE,GH18:+0.1843;8.A.46:+0.1783;FecR:+0.1613;null:+0.0426;GerE:+0.0369
669,0,host glycan,host glycan,1.0,8.A.46,8.A.46;GH18;FecR,8.A.46;GH18;FecR;null;GerE,8.A.46:+0.3205;GH18:+0.2868;FecR:+0.1809;null:+0.1293;GerE:+0.1192
682,0,host glycan,host glycan,1.0,null,null;4.A.3;GH170,null;4.A.3;GH170,null:+0.2296;4.A.3:+0.2029;GH170:+0.0540
684,0,host glycan,host glycan,1.0,GH33,GH33;CBM93;CE20,GH33;CBM93;CE20;GH20;GH2,GH33:+0.1829;CBM93:+0.1783;CE20:+0.1450;GH20:+0.0832;GH2:+0.0713
687,0,host glycan,host glycan,1.0,GH20,GH20,GH20,GH20:+0.7124
688,0,host glycan,host glycan,1.0,GH20,GH20;GH38;GH92,GH20;GH38;GH92;GH125;null,GH20:+0.3572;GH38:+0.2242;GH92:+0.1497;GH125:+0.1466;null:+0.0570
690,0,host glycan,host glycan,0.9655172413793103,CE9,CE9;GntR;4.A.6,CE9;GntR;4.A.6;SIS;GH35,CE9:+0.2464;GntR:+0.0747;4.A.6:+0.0614;SIS:+0.0557;GH35:+0.0123
691,0,host glycan,host glycan,1.0,GH20,GH20;TetR,GH20;TetR,GH20:+0.4860;TetR:+0.0513
