idx,fold,true,pred,prob_true,top1,top3,top5,top5_with_delta
210,0,arabinogalactan,arabinogalactan,0.9674280002263254,GH16,GH16;1.B.14;AraC,GH16;1.B.14;AraC;HTH;24,GH16:+0.2286;1.B.14:+0.2038;AraC:+0.1501;HTH:+0.1428;24:+0.1274
217,0,arabinogalactan,arabinogalactan,1.0,GH51,GH51;3.A.1;1,GH51;3.A.1;1;null;GH,GH51:+0.5205;3.A.1:+0.3050;1:+0.2907;null:+0.1835;GH:+0.0968
219,0,arabinogalactan,arabinogalactan,0.7092968183733117,GH51,GH51;3.A.1;null,GH51;3.A.1;null;GH,GH51:+0.5399;3.A.1:+0.2825;null:+0.1992;GH:+0.0664
220,0,arabinogalactan,pectin,0.46715328467153283,HTH,HTH;AraC;4,HTH;AraC;4;GH51;1.B.14,HTH:+0.1711;AraC:+0.1664;4:+0.1395;GH51:+0.0734;1.B.14:+0.0601
221,0,arabinogalactan,host glycan,0.12064965197215777,GH43,GH43;GH27;GH,GH43;GH27;GH;HTH;null,GH43:+0.0592;GH27:+0.0424;GH:+0.0258;HTH:+0.0253;null:+0.0177
241,0,beta-glucan,beta-glucan,0.8919449901768173,GH5,GH5;4;GH31,GH5;4;GH31;GH3;1.B.14,GH5:+0.2441;4:+0.1805;GH31:+0.1460;GH3:+0.1060;1.B.14:+0.1023
245,0,beta-glucan,beta-glucan,1.0,LacI,LacI;GH3;GH16,LacI;GH3;GH16;1.B.14;3,LacI:+0.1523;GH3:+0.1149;GH16:+0.0808;1.B.14:+0.0713;3:+0.0683
249,0,beta-glucan,beta-glucan,1.0,LacI,LacI;GH1;Glucokinase,LacI;GH1;Glucokinase;4.A.3;GH,LacI:+0.5220;GH1:+0.4588;Glucokinase:+0.2840;4.A.3:+0.1729;GH:+0.0244
252,0,beta-glucan,beta-glucan,0.49107142857142855,CBM32,CBM32;GH30;GH95,CBM32;GH30;GH95;GH10;CBM,CBM32:+0.1211;GH30:+0.1096;GH95:+0.0892;GH10:+0.0691;CBM:+0.0673
254,0,beta-glucan,beta-glucan,1.0,CBM4,CBM4;1.B.14;CBM,CBM4;1.B.14;CBM;null,CBM4:+0.4519;1.B.14:+0.2336;CBM:+0.2282;null:+0.1219
258,0,beta-glucan,beta-glucan,0.9262948207171315,GH16,GH16;8.A.46;GH,GH16;8.A.46;GH;1.B.14;null,GH16:+0.3778;8.A.46:+0.1263;GH:+0.1224;1.B.14:+0.1138;null:+0.0554
268,0,beta-glucan,beta-glucan,1.0,GH3,GH3;GH16;1.B.14,GH3;GH16;1.B.14;GH;8.A.46,GH3:+0.2241;GH16:+0.1883;1.B.14:+0.1488;GH:+0.1465;8.A.46:+0.0458
269,0,beta-glucan,beta-glucan,0.5694716242661447,4,4;GH36;GH3,4;GH36;GH3;GH5;GH,4:+0.2368;GH36:+0.1929;GH3:+0.1374;GH5:+0.1351;GH:+0.1144
271,0,beta-glucan,beta-glucan,0.6754850088183421,3,3;GH30;CBM57,3;GH30;CBM57;1.B.14;GH,3:+0.1755;GH30:+0.1334;CBM57:+0.0901;1.B.14:+0.0643;GH:+0.0604
278,0,beta-glucan,beta-glucan,0.7450110864745011,GH105,GH105;GH5;4,GH105;GH5;4;GH;1.B.14,GH105:+0.1389;GH5:+0.0999;4:+0.0775;GH:+0.0652;1.B.14:+0.0535
282,0,beta-glucan,beta-glucan,1.0,GH3,GH3;3;1.B.14,GH3;3;1.B.14;GH;GH158,GH3:+0.1288;3:+0.0843;1.B.14:+0.0815;GH:+0.0734;GH158:+0.0506
289,0,beta-glucan,beta-glucan,0.972,GH31,GH31;GH3;4,GH31;GH3;4;GH5;HTH,GH31:+0.1463;GH3:+0.1462;4:+0.1052;GH5:+0.0949;HTH:+0.0848
302,0,beta-glucan,beta-mannan,0.2916666666666667,GH5,GH5;GH26;GH,GH5;GH26;GH;1.B.14,GH5:+0.0278;GH26:+0.0207;GH:+0.0194;1.B.14:+0.0094
306,0,beta-glucan,beta-glucan,0.7536594841272559,GH9,GH9;CBM3;GH,GH9;CBM3;GH;CBM,GH9:+0.2753;CBM3:+0.0640;GH:+0.0422;CBM:+0.0153
309,0,beta-glucan,beta-glucan,1.0,GH8,GH8;4.D.3;GT2,GH8;4.D.3;GT2;GH,GH8:+0.1334;4.D.3:+0.0902;GT2:+0.0277;GH:+0.0219
312,0,beta-glucan,beta-glucan,1.0,GH4,GH4;Mga;11,GH4;Mga;11;4.A.3;HTH,GH4:+0.4295;Mga:+0.3807;11:+0.3320;4.A.3:+0.3292;HTH:+0.2466
315,0,beta-glucan,beta-glucan,1.0,3,3;GH3;GH30,3;GH3;GH30;1.B.14;GH,3:+0.2433;GH3:+0.2042;GH30:+0.1360;1.B.14:+0.0959;GH:+0.0890
319,0,beta-glucan,beta-glucan,1.0,GH3,GH3;8.A.46;GH16,GH3;8.A.46;GH16;1.B.14;GH,GH3:+0.2477;8.A.46:+0.1696;GH16:+0.1616;1.B.14:+0.1321;GH:+0.1057
330,0,beta-glucan,beta-glucan,1.0,GH1,GH1;4.A.1;GH,GH1;4.A.1;GH,GH1:+0.7009;4.A.1:+0.4654;GH:+0.0870
333,0,beta-glucan,beta-glucan,1.0,GH73,GH73;9.B.154;null,GH73;9.B.154;null;GH;M23,GH73:+0.1950;9.B.154:+0.1530;null:+0.1131;GH:+0.0429;M23:+0.0135
334,0,beta-glucan,beta-glucan,1.0,GH73,GH73;9.B.154;null,GH73;9.B.154;null;GH,GH73:+0.1864;9.B.154:+0.1477;null:+0.1131;GH:+0.0409
341,0,beta-glucan,beta-glucan,0.7804391217564869,3,3;GH31;GH9,3;GH31;GH9;null;GH,3:+0.1145;GH31:+0.1038;GH9:+0.0830;null:+0.0604;GH:+0.0457
342,0,beta-glucan,beta-glucan,0.8989690721649484,GH5,GH5;GH31;4,GH5;GH31;4;GH;GH26,GH5:+0.1415;GH31:+0.1235;4:+0.1201;GH:+0.1089;GH26:+0.0848
347,0,beta-glucan,beta-glucan,1.0,GH5,GH5;4;AraC,GH5;4;AraC;1.B.14;HTH,GH5:+0.3249;4:+0.2316;AraC:+0.1704;1.B.14:+0.1673;HTH:+0.1431
349,0,beta-glucan,beta-glucan,1.0,GH73,GH73;9.B.154;null,GH73;9.B.154;null;GH;M23,GH73:+0.1950;9.B.154:+0.1530;null:+0.1131;GH:+0.0429;M23:+0.0135
357,0,beta-mannan,beta-mannan,0.5006510416666654,LacI,LacI;GH2;2.A.2,LacI;GH2;2.A.2;GH,LacI:+0.5007;GH2:+0.1786;2.A.2:+0.1725;GH:+0.0103
361,0,beta-mannan,beta-mannan,0.9924775586963687,HTH,HTH;AraC;GH29,HTH;AraC;GH29;2.A.1;C,HTH:+0.1655;AraC:+0.1634;GH29:+0.1395;2.A.1:+0.1370;C:+0.1304
362,0,beta-mannan,beta-mannan,0.9984683689098276,AraC,AraC;HTH;C,AraC;HTH;C;1.B.14;2.A.1,AraC:+0.1483;HTH:+0.1423;C:+0.1312;1.B.14:+0.1175;2.A.1:+0.1106
372,0,beta-mannan,beta-mannan,0.4931506849315068,GH26,GH26;GntR;4.A.3,GH26;GntR;4.A.3;null;GH,GH26:+0.3514;GntR:+0.1690;4.A.3:+0.1666;null:+0.0681;GH:+0.0168
376,0,beta-mannan,beta-mannan,0.9818548387096774,LacI,LacI;GH130;9.B.28,LacI;GH130;9.B.28;2;bac,LacI:+0.2351;GH130:+0.2018;9.B.28:+0.1437;2:+0.1228;bac:+0.1144
377,0,beta-mannan,beta-mannan,0.8403193612774451,GH130,GH130;GH26;2,GH130;GH26;2;AraC;HTH,GH130:+0.1409;GH26:+0.1180;2:+0.0717;AraC:+0.0708;HTH:+0.0694
380,0,beta-mannan,beta-mannan,0.5750805486320881,GH130,GH130;GH;CE7,GH130;GH;CE7;null;1,GH130:+0.2183;GH:+0.0751;CE7:+0.0419;null:+0.0109;1:+0.0093
382,0,beta-mannan,beta-mannan,0.9945463609674544,31,31;LacI;4.A.1,31;LacI;4.A.1;GH13;GH32,31:+0.5465;LacI:+0.5156;4.A.1:+0.4915;GH13:+0.3768;GH32:+0.3384
384,0,beta-mannan,beta-mannan,0.5024164154254601,GH130,GH130;GH;LacI,GH130;GH;LacI;SBP;bac,GH130:+0.2420;GH:+0.0770;LacI:+0.0718;SBP:+0.0525;bac:+0.0426
391,0,beta-mannan,beta-glucan,0.06727079761613193,GH3,GH3;GH,GH3;GH,GH3:+0.0234;GH:+0.0013
397,0,beta-mannan,beta-mannan,0.9962468982893946,GH42,GH42;3.A.1;GH,GH42;3.A.1;GH,GH42:+0.7715;3.A.1:+0.3355;GH:+0.0998
408,0,beta-mannan,beta-mannan,0.9489070730884172,GH35,GH35;GH42;GH,GH35;GH42;GH;LacI;null,GH35:+0.5434;GH42:+0.4057;GH:+0.3859;LacI:+0.3228;null:+0.1405
423,0,beta-mannan,galactan,0.08964986438060543,GH42,GH42;3.A.1;GH,GH42;3.A.1;GH,GH42:+0.0533;3.A.1:+0.0180;GH:+0.0007
433,0,chitin,chitin,0.9919354838709677,4.A.3,4.A.3;GH4;null,4.A.3;GH4;null;GH,4.A.3:+0.6469;GH4:+0.5831;null:+0.1498;GH:+0.0476
434,0,chitin,chitin,0.7473339605100905,AraC,AraC;HTH;4.A.3,AraC;HTH;4.A.3;GH1;GH,AraC:+0.4748;HTH:+0.4391;4.A.3:+0.4116;GH1:+0.0816;GH:+0.0197
435,0,chitin,chitin,1.0,4.A.3,4.A.3;AraC;HTH,4.A.3;AraC;HTH;null;GH1,4.A.3:+0.5944;AraC:+0.5622;HTH:+0.5050;null:+0.2527;GH1:+0.2160
439,0,chitin,chitin,1.0,AA10,AA10;AA;GH18,AA10;AA;GH18;1;1.E.2,AA10:+0.2477;AA:+0.2143;GH18:+0.1457;1:+0.1301;1.E.2:+0.1004
447,0,chitin,host glycan,0.32679579945059395,GH18,GH18;CBM5;CBM,GH18;CBM5;CBM;GH,GH18:+0.1558;CBM5:+0.1113;CBM:+0.0376;GH:+0.0306
450,0,chitin,chitin,1.0,1.B.25,1.B.25;GH20;null,1.B.25;GH20;null;GH,1.B.25:+0.6857;GH20:+0.4093;null:+0.2055;GH:+0.1008
452,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;null,4.A.3;GH4;null;GH,4.A.3:+0.6635;GH4:+0.6146;null:+0.1579;GH:+0.0551
453,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;CE4,4.A.3;GH4;CE4;CE;GH,4.A.3:+0.4897;GH4:+0.4689;CE4:+0.1027;CE:+0.0841;GH:+0.0349
464,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;null;HTH,4.A.3:+0.6507;GH4:+0.2495;AraC:+0.2107;null:+0.1643;HTH:+0.1420
472,0,chitin,chitin,1.0,GH20,GH20;3.A.1;GH9,GH20;3.A.1;GH9;reg;GH94,GH20:+0.2407;3.A.1:+0.2118;GH9:+0.1752;reg:+0.1666;GH94:+0.1331
474,0,chitin,chitin,0.7651515151515151,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH;GH,4.A.3:+0.5511;GH4:+0.2623;AraC:+0.1224;HTH:+0.0228;GH:+0.0152
477,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH;GH,4.A.3:+0.6154;GH4:+0.2670;AraC:+0.1066;HTH:+0.0286;GH:+0.0165
483,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH;GH,4.A.3:+0.6507;GH4:+0.2722;AraC:+0.1056;HTH:+0.0283;GH:+0.0206
491,0,fructan,fructan,0.36916835699797157,3.A.1,3.A.1;GH32;LacI,3.A.1;GH32;LacI;GH;HTH,3.A.1:+0.3126;GH32:+0.2833;LacI:+0.1440;GH:+0.0177;HTH:+0.0158
498,0,fructan,fructan,1.0,GH32,GH32;GH;PfkB,GH32;GH;PfkB;1.B.14;2.A.1,GH32:+0.3027;GH:+0.0937;PfkB:+0.0541;1.B.14:+0.0501;2.A.1:+0.0497
502,0,fructan,fructan,0.7989510109256586,GH68,GH68;2.A.3;GH32,GH68;2.A.3;GH32;GH,GH68:+0.2443;2.A.3:+0.2239;GH32:+0.1656;GH:+0.1015
507,0,fructan,fructan,1.0,3.A.1,3.A.1;GH32;null,3.A.1;GH32;null;LacI;GH,3.A.1:+0.9336;GH32:+0.3966;null:+0.3468;LacI:+0.1992;GH:+0.0575
508,0,fructan,alpha-glucan,0.40447154471544716,3.A.1,3.A.1;GH32;LacI,3.A.1;GH32;LacI;GH,3.A.1:+0.4045;GH32:+0.3100;LacI:+0.1899;GH:+0.0168
514,0,fructan,fructan,0.924949290060852,null,null;4.A.1;LacI,null;4.A.1;LacI;GH32;GH,null:+0.9249;4.A.1:+0.7649;LacI:+0.5627;GH32:+0.3802;GH:+0.0547
523,0,galactan,galactan,1.0,GH4,GH4;AraC;HTH,GH4;AraC;HTH;GH,GH4:+0.4979;AraC:+0.3611;HTH:+0.3447;GH:+0.0231
524,0,galactan,galactan,1.0,MarR,MarR;GH36;null,MarR;GH36;null;3.A.1;GH,MarR:+0.4006;GH36:+0.3064;null:+0.1534;3.A.1:+0.1224;GH:+0.0807
528,0,galactan,beta-mannan,0.0037967101778563187,,,,
544,0,galactan,pectin,0.0019019656951845796,,,,
545,0,galactan,pectin,0.08287490641580678,GH53,GH53;GH,GH53;GH,GH53:+0.0689;GH:+0.0067
553,0,galactan,galactan,0.5852233801575139,GH42,GH42;LacI;GH53,GH42;LacI;GH53;3.A.1;GH,GH42:+0.2231;LacI:+0.2113;GH53:+0.1160;3.A.1:+0.0808;GH:+0.0098
554,0,galactan,galactan,0.5498733803350234,GH16,GH16;GH117;null,GH16;GH117;null;GH;16,GH16:+0.0976;GH117:+0.0622;null:+0.0427;GH:+0.0405;16:+0.0340
555,0,galactan,galactan,0.5276228165768171,GH16,GH16;GH117;GH,GH16;GH117;GH;null;GH86,GH16:+0.1038;GH117:+0.0798;GH:+0.0578;null:+0.0493;GH86:+0.0360
561,0,galactan,galactan,0.5508768498973319,GH53,GH53;AraC;HTH,GH53;AraC;HTH;8.A.46;GH,GH53:+0.4816;AraC:+0.0936;HTH:+0.0840;8.A.46:+0.0699;GH:+0.0316
566,0,galactan,galactan,0.4982780024828801,3.A.1,3.A.1;GH36;18,3.A.1;GH36;18;31;GH13,3.A.1:+0.2083;GH36:+0.1712;18:+0.1515;31:+0.0863;GH13:+0.0344
570,0,galactan,galactan,0.6627068034194034,GntR,GntR;null;GH16,GntR;null;GH16;1.B.14;2.A.1,GntR:+0.2769;null:+0.1930;GH16:+0.1739;1.B.14:+0.1694;2.A.1:+0.1545
574,0,galactan,galactan,0.9094710958565991,42,42;GH5;1,42;GH5;1;TPR;GH,42:+0.3396;GH5:+0.2457;1:+0.2113;TPR:+0.1508;GH:+0.0574
577,0,galactan,galactan,0.8722222222222221,GH129,GH129;2.A.1;GH127,GH129;2.A.1;GH127;AraC;GH,GH129:+0.1905;2.A.1:+0.1720;GH127:+0.1421;AraC:+0.1350;GH:+0.0940
578,0,galactan,galactan,0.6083619492270389,GntR,GntR;null;GH16,GntR;null;GH16;2.A.1;1.B.14,GntR:+0.2494;null:+0.1602;GH16:+0.1270;2.A.1:+0.1239;1.B.14:+0.0727
588,0,galactan,galactan,0.9861085089388725,null,null;LacI;SBP,null;LacI;SBP;GH42;bac,null:+0.9823;LacI:+0.2918;SBP:+0.2716;GH42:+0.2634;bac:+0.2462
592,0,host glycan,host glycan,0.5009246672304943,GH20,GH20;GH,GH20;GH,GH20:+0.2540;GH:+0.0241
601,0,host glycan,host glycan,0.8745019920318725,GH20,GH20;GH33;GH2,GH20;GH33;GH2;CE20;CBM93,GH20:+0.0637;GH33:+0.0364;GH2:+0.0283;CE20:+0.0265;CBM93:+0.0249
607,0,host glycan,host glycan,1.0,GH18,GH18;8.A.46;null,GH18;8.A.46;null;GH,GH18:+0.5796;8.A.46:+0.3406;null:+0.1056;GH:+0.0845
612,0,host glycan,host glycan,1.0,DeoR,DeoR;GH31;PfkB,DeoR;GH31;PfkB;1.B.35;13,DeoR:+0.2749;GH31:+0.1940;PfkB:+0.1842;1.B.35:+0.1799;13:+0.1685
618,0,host glycan,host glycan,0.24741478833675964,null,null;GH95;GH,null;GH95;GH,null:+0.0914;GH95:+0.0350;GH:+0.0043
626,0,host glycan,host glycan,1.0,CE9,CE9;CE;4.A.6,CE9;CE;4.A.6;SIS;GntR,CE9:+0.2678;CE:+0.1045;4.A.6:+0.1017;SIS:+0.0917;GntR:+0.0793
633,0,host glycan,host glycan,0.9959919839679359,GH2,GH2;GH20;GH,GH2;GH20;GH;null;2.A.115,GH2:+0.0948;GH20:+0.0666;GH:+0.0609;null:+0.0580;2.A.115:+0.0517
635,0,host glycan,host glycan,0.6934156378600823,2.A.4,2.A.4;null;GH78,2.A.4;null;GH78;CBM67;AraC,2.A.4:+0.1370;null:+0.1212;GH78:+0.1136;CBM67:+0.1033;AraC:+0.0764
636,0,host glycan,host glycan,1.0,GH97,GH97;null;GH3,GH97;null;GH3;AraC;GH78,GH97:+0.1904;null:+0.1791;GH3:+0.1680;AraC:+0.1673;GH78:+0.1608
637,0,host glycan,host glycan,0.6085106382978723,2.A.4,2.A.4;null;GH78,2.A.4;null;GH78;CBM67;AraC,2.A.4:+0.1250;null:+0.1226;GH78:+0.0676;CBM67:+0.0673;AraC:+0.0347
639,0,host glycan,host glycan,1.0,GH88,GH88;4.A.6;PL12,GH88;4.A.6;PL12;GH;PfkB,GH88:+0.1766;4.A.6:+0.0844;PL12:+0.0485;GH:+0.0446;PfkB:+0.0369
654,0,host glycan,host glycan,0.9940239043824701,GH20,GH20;GH33;CE3,GH20;GH33;CE3;CE20;GH,GH20:+0.0717;GH33:+0.0395;CE3:+0.0311;CE20:+0.0298;GH:+0.0297
655,0,host glycan,host glycan,1.0,CE9,CE9;CE;MarR,CE9;CE;MarR,CE9:+0.4870;CE:+0.1606;MarR:+0.0080
661,0,host glycan,host glycan,1.0,GH18,GH18;8.A.46;FecR,GH18;8.A.46;FecR;GH;null,GH18:+0.1866;8.A.46:+0.1127;FecR:+0.0844;GH:+0.0554;null:+0.0335
668,0,host glycan,host glycan,0.9880952380952381,GH18,GH18;8.A.46;FecR,GH18;8.A.46;FecR;null;GH,GH18:+0.3626;8.A.46:+0.2941;FecR:+0.1579;null:+0.1349;GH:+0.0599
669,0,host glycan,host glycan,1.0,GH18,GH18;8.A.46;FecR,GH18;8.A.46;FecR;null;GH,GH18:+0.3474;8.A.46:+0.2759;FecR:+0.1586;null:+0.1468;GH:+0.0804
671,0,host glycan,host glycan,0.763671875,null,null;GH78;2.A.4,null;GH78;2.A.4;CBM67;HTH,null:+0.1480;GH78:+0.1417;2.A.4:+0.1358;CBM67:+0.1183;HTH:+0.0989
675,0,host glycan,host glycan,0.914,GH88,GH88;AraC;GH2,GH88;AraC;GH2;GH20;HTH,GH88:+0.1394;AraC:+0.0949;GH2:+0.0905;GH20:+0.0897;HTH:+0.0833
677,0,host glycan,host glycan,0.6592292089249493,GH170,GH170;null;4.A.3,GH170;null;4.A.3;GH,GH170:+0.1375;null:+0.0658;4.A.3:+0.0634;GH:+0.0146
683,0,host glycan,host glycan,0.5009246672304943,GH20,GH20;GH,GH20;GH,GH20:+0.2540;GH:+0.0241
