idx,fold,true,pred,prob_true_cal,prob_pred_cal,top1,top3,top5,top5_with_delta
109,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH32,GH32;3.A.1.1.10;bac,GH32;3.A.1.1.10;bac;SBP;1,GH32:+0.0984;3.A.1.1.10:+0.0523;bac:+0.0067;SBP:+0.0036;1:+0.0006
115,0,alpha-glucan,alpha-glucan,0.8710699942575834,0.8710699942575834,GH97,GH97;GH13;GH31,GH97;GH13;GH31;null;38,GH97:+0.2231;GH13:+0.0829;GH31:+0.0357;null:+0.0056;38:+0.0053
118,0,alpha-glucan,alpha-glucan,0.999476191285629,0.999476191285629,GH97,GH97;GH13;1.B.14.6.1,GH97;GH13;1.B.14.6.1;null,GH97:+0.0890;GH13:+0.0715;1.B.14.6.1:+0.0058;null:+0.0013
127,0,alpha-glucan,alpha-glucan,0.9834130037527765,0.9834130037527765,LacI,LacI;GH77;GT35,LacI;GH77;GT35,LacI:+0.1233;GH77:+0.0810;GT35:+0.0411
128,0,alpha-glucan,alpha-glucan,0.9865758920664621,0.9865758920664621,LacI,LacI;GH77;GT35,LacI;GH77;GT35;3.A.1.1.27,LacI:+0.0919;GH77:+0.0627;GT35:+0.0337;3.A.1.1.27:+0.0032
136,0,alpha-glucan,fructan,1.0524412454703199e-13,0.9999999999988423,PfkB,PfkB;GH32;LacI,PfkB;GH32;LacI;null;3.A.1.1.10,PfkB:+0.0000;GH32:-0.0164;LacI:-0.0464;null:-0.0998;3.A.1.1.10:-1.0000
144,0,alpha-glucan,alpha-glucan,0.6865312777853289,0.6865312777853289,GH13,GH13;LacI;3.A.1.1.2,GH13;LacI;3.A.1.1.2,GH13:+0.3539;LacI:-0.0191;3.A.1.1.2:-0.2878
150,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH13,GH13;20;CBM34,GH13;20;CBM34;31;3.A.1.1.27,GH13:+0.0364;20:+0.0242;CBM34:+0.0213;31:+0.0181;3.A.1.1.27:+0.0162
152,0,alpha-glucan,alpha-glucan,0.9625279613089992,0.9625279613089992,GH13,GH13;3.A.1.1.45;CBM34,GH13;3.A.1.1.45;CBM34;CBM20;39,GH13:+0.1711;3.A.1.1.45:+0.0124;CBM34:+0.0119;CBM20:+0.0043;39:+0.0034
160,0,alpha-glucan,alpha-glucan,0.786179074260381,0.786179074260381,GH13,GH13;36;null,GH13;36;null;7;1.B.14,GH13:+0.2265;36:+0.0692;null:+0.0605;7:+0.0358;1.B.14:+0.0317
167,0,alpha-glucan,fructan,1.0524412454703199e-13,0.9999999999988423,PfkB,PfkB;GH32;LacI,PfkB;GH32;LacI;null;3.A.1.1.10,PfkB:+0.0000;GH32:-0.0164;LacI:-0.0464;null:-0.0998;3.A.1.1.10:-1.0000
170,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH13,GH13;GT5;9,GH13;GT5;9;CBM48;GT35,GH13:+0.0303;GT5:+0.0120;9:+0.0041;CBM48:+0.0023;GT35:+0.0020
173,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH13,GH13;redox;1,GH13;redox;1;Pyr;2,GH13:+0.0420;redox:+0.0163;1:+0.0154;Pyr:+0.0107;2:+0.0090
177,0,alpha-mannan,alpha-mannan,0.9928858576411137,0.9928858576411137,GH1,GH1;GH125;GntR,GH1;GH125;GntR;GH38;3.A.1.1.29,GH1:+0.1216;GH125:+0.1170;GntR:+0.1106;GH38:+0.0963;3.A.1.1.29:+0.0833
185,0,alpha-mannan,alpha-mannan,0.9280487069209817,0.9280487069209817,GH99,GH99;GH92;null,GH99;GH92;null;1.B.14.6.2,GH99:+0.3013;GH92:+0.2167;null:+0.0489;1.B.14.6.2:-0.0635
187,0,alpha-mannan,alpha-mannan,0.9866115660742468,0.9866115660742468,GH92,GH92;null;1.B.14.6.1,GH92;null;1.B.14.6.1;9.B.14.1.10,GH92:+0.2949;null:+0.1454;1.B.14.6.1:+0.0607;9.B.14.1.10:+0.0183
192,0,alpha-mannan,alpha-mannan,0.745339985510818,0.745339985510818,GH125,GH125;LacI;GH76,GH125;LacI;GH76;GH92;GH2,GH125:+0.2649;LacI:+0.1879;GH76:+0.1322;GH92:+0.1137;GH2:+0.1055
201,0,arabinogalactan,arabinogalactan,0.4293939945822592,0.4293939945822592,2.A.3,2.A.3;9.B.28;HTH,2.A.3;9.B.28;HTH;GH43;22,2.A.3:+0.1922;9.B.28:+0.1553;HTH:+0.1052;GH43:+0.0727;22:+0.0613
207,0,arabinogalactan,pectin,0.10236676545042267,0.36143968962885265,29,29;GH43;1.B.14,29;GH43;1.B.14;null;GH146,29:+0.0320;GH43:+0.0316;1.B.14:+0.0220;null:+0.0083;GH146:-0.0273
210,0,arabinogalactan,arabinogalactan,0.9949139804459302,0.9949139804459302,1.B.14.6.1,1.B.14.6.1;CBM32;3,1.B.14.6.1;CBM32;3;GH16;HTH,1.B.14.6.1:+0.0875;CBM32:+0.0830;3:+0.0807;GH16:+0.0748;HTH:+0.0496
217,0,arabinogalactan,arabinogalactan,0.9999485447860087,0.9999485447860087,3.A.1.1.34,3.A.1.1.34;GH51;1,3.A.1.1.34;GH51;1;null,3.A.1.1.34:+0.1263;GH51:+0.0902;1:+0.0781;null:+0.0144
219,0,arabinogalactan,arabinogalactan,0.38695907547196323,0.38695907547196323,GH51,GH51;null;3.A.1,GH51;null;3.A.1,GH51:+0.3859;null:+0.1616;3.A.1:-0.0927
220,0,arabinogalactan,pectin,0.32241378905309176,0.6599859765284471,HTH,HTH;AraC;4,HTH;AraC;4;GH43;1.B.14,HTH:+0.1940;AraC:+0.1389;4:+0.1053;GH43:+0.0448;1.B.14:+0.0083
221,0,arabinogalactan,host glycan,0.09334250766724807,0.42624458509110263,GH43,GH43;GH27;HTH,GH43;GH27;HTH;AraC;GH36,GH43:+0.0680;GH27:+0.0447;HTH:+0.0340;AraC:+0.0202;GH36:+0.0160
241,0,beta-glucan,beta-glucan,0.9476919511922004,0.9476919511922004,GH5,GH5;4;GH31,GH5;4;GH31;GH3;AraC,GH5:+0.1371;4:+0.1213;GH31:+0.0753;GH3:+0.0446;AraC:+0.0343
245,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH1,GH1;LacI;GH3,GH1;LacI;GH3;3;GH16,GH1:+0.0311;LacI:+0.0176;GH3:+0.0153;3:+0.0112;GH16:+0.0087
249,0,beta-glucan,beta-glucan,0.9608761547870468,0.9608761547870468,GH1,GH1;LacI;4.A.3.2.7,GH1;LacI;4.A.3.2.7;Glucokinase;4.A.3.2.6,GH1:+0.3211;LacI:+0.1749;4.A.3.2.7:+0.0569;Glucokinase:+0.0377;4.A.3.2.6:+0.0019
252,0,beta-glucan,beta-glucan,0.5138884576879469,0.5138884576879469,GH95,GH95;GH30;CBM32,GH95;GH30;CBM32;CE6;GH62,GH95:+0.2084;GH30:+0.1903;CBM32:+0.1384;CE6:+0.1317;GH62:+0.1162
254,0,beta-glucan,beta-glucan,0.7002536042653779,0.7002536042653779,CBM4,CBM4;null;1.B.14.6.1,CBM4;null;1.B.14.6.1,CBM4:+0.6533;null:+0.0116;1.B.14.6.1:-0.1854
258,0,beta-glucan,beta-glucan,0.9996485695803605,0.9996485695803605,GH16,GH16;8.A.46;1.B.14,GH16;8.A.46;1.B.14;GerE;null,GH16:+0.1324;8.A.46:+0.0246;1.B.14:+0.0097;GerE:+0.0070;null:+0.0028
268,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH3,GH3;3;GH16,GH3;3;GH16;8.A.46.2.1;1.B.14.6.2,GH3:+0.0877;3:+0.0562;GH16:+0.0430;8.A.46.2.1:+0.0379;1.B.14.6.2:+0.0073
269,0,beta-glucan,beta-mannan,0.3792337528172287,0.5980585381899761,4,4;GH36;GH5,4;GH36;GH5;GH3;7,4:+0.2477;GH36:+0.1398;GH5:+0.1109;GH3:+0.0998;7:+0.0435
271,0,beta-glucan,beta-glucan,0.8419964785189668,0.8419964785189668,3,3;GH30;CBM57,3;GH30;CBM57;null;1.B.14.6.1,3:+0.1923;GH30:+0.1527;CBM57:+0.1138;null:+0.0779;1.B.14.6.1:+0.0604
278,0,beta-glucan,beta-glucan,0.7296491831180347,0.7296491831180347,4,4;GH5;GH105,4;GH5;GH105;GH3;null,4:+0.1942;GH5:+0.1883;GH105:+0.1161;GH3:+0.0190;null:-0.0004
282,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH3,GH3;GH158;3,GH3;GH158;3;GH16;GerE,GH3:+0.0613;GH158:+0.0139;3:+0.0062;GH16:+0.0043;GerE:+0.0038
289,0,beta-glucan,beta-glucan,0.9954269825938835,0.9954269825938835,4,4;GH31;GH3,4;GH31;GH3;GH5;GH2,4:+0.0686;GH31:+0.0449;GH3:+0.0404;GH5:+0.0304;GH2:+0.0187
302,0,beta-glucan,beta-mannan,0.4285123018287945,0.4290129290527253,GH26,GH26;GH5;1.B.14,GH26;GH5;1.B.14;8.A.46;null,GH26:+0.0469;GH5:+0.0452;1.B.14:+0.0170;8.A.46:-0.0740;null:-0.0921
306,0,beta-glucan,beta-glucan,0.930719925346223,0.930719925346223,GH9,GH9;CBM3,GH9;CBM3,GH9:+0.2742;CBM3:+0.0377
309,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH8,GH8;4.D.3.1.6;1.B.55.3.1,GH8;4.D.3.1.6;1.B.55.3.1;GT2,GH8:+0.0284;4.D.3.1.6:+0.0035;1.B.55.3.1:+0.0000;GT2:+0.0000
312,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH4,GH4;4.A.3.2.2;Mga,GH4;4.A.3.2.2;Mga;11;HTH,GH4:+0.1616;4.A.3.2.2:+0.1157;Mga:+0.0961;11:+0.0948;HTH:+0.0670
315,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,3,3;GH3;GH30,3;GH3;GH30;7;1.B.14.6.1,3:+0.0703;GH3:+0.0506;GH30:+0.0392;7:+0.0229;1.B.14.6.1:+0.0142
319,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH3,GH3;8.A.46.2.1;1.B.14.6.2,GH3;8.A.46.2.1;1.B.14.6.2;3;GH16,GH3:+0.0908;8.A.46.2.1:+0.0592;1.B.14.6.2:+0.0405;3:+0.0379;GH16:+0.0335
330,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,4.A.1.2.2,4.A.1.2.2;GH1;null,4.A.1.2.2;GH1;null,4.A.1.2.2:+0.4503;GH1:+0.1289;null:+0.0000
333,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH73,GH73;9.B.154.1.2;null,GH73;9.B.154.1.2;null;Peptidase;M23,GH73:+0.0605;9.B.154.1.2:+0.0131;null:+0.0123;Peptidase:+0.0025;M23:+0.0003
334,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH73,GH73;null;9.B.154.1.2,GH73;null;9.B.154.1.2;M23;Peptidase,GH73:+0.0584;null:+0.0123;9.B.154.1.2:+0.0103;M23:+0.0000;Peptidase:+0.0000
341,0,beta-glucan,beta-glucan,0.9206650696835657,0.9206650696835657,GH31,GH31;3;GH9,GH31;3;GH9;9.B.27.3.1;null,GH31:+0.0907;3:+0.0821;GH9:+0.0599;9.B.27.3.1:+0.0198;null:+0.0178
342,0,beta-glucan,beta-glucan,0.9627324292964005,0.9627324292964005,GH31,GH31;GH5;4,GH31;GH5;4;null;1.B.14,GH31:+0.0566;GH5:+0.0433;4:+0.0315;null:+0.0103;1.B.14:+0.0023
347,0,beta-glucan,beta-glucan,0.9998841233758831,0.9998841233758831,GH5,GH5;4;AraC,GH5;4;AraC;HTH;GH36,GH5:+0.0750;4:+0.0549;AraC:+0.0371;HTH:+0.0269;GH36:+0.0191
349,0,beta-glucan,beta-glucan,0.9999999999988423,0.9999999999988423,GH73,GH73;9.B.154.1.2;null,GH73;9.B.154.1.2;null;Peptidase;M23,GH73:+0.0605;9.B.154.1.2:+0.0131;null:+0.0123;Peptidase:+0.0025;M23:+0.0003
357,0,beta-mannan,beta-mannan,0.9999999999988423,0.9999999999988423,LacI,LacI;2.A.2.2.3;GH2,LacI;2.A.2.2.3;GH2,LacI:+1.0000;2.A.2.2.3:+0.5948;GH2:+0.3083
361,0,beta-mannan,beta-mannan,0.999871369941882,0.999871369941882,GH29,GH29;HTH;C,GH29;HTH;C;2.A.1.14.25;AraC,GH29:+0.0647;HTH:+0.0541;C:+0.0513;2.A.1.14.25:+0.0448;AraC:+0.0444
362,0,beta-mannan,beta-mannan,0.9999999999988423,0.9999999999988423,HTH,HTH;GH29;C,HTH;GH29;C;AraC;2.A.1.14.25,HTH:+0.0494;GH29:+0.0468;C:+0.0350;AraC:+0.0298;2.A.1.14.25:+0.0254
372,0,beta-mannan,beta-mannan,0.3982021498148568,0.3982021498148568,GH26,GH26;4.A.3;null,GH26;4.A.3;null;GntR;8.A.49,GH26:+0.1824;4.A.3:+0.0995;null:+0.0342;GntR:+0.0135;8.A.49:-0.0393
376,0,beta-mannan,beta-mannan,0.9903937349766202,0.9903937349766202,LacI,LacI;GH130;2,LacI;GH130;2;1;3.A.1.1.46,LacI:+0.0777;GH130:+0.0679;2:+0.0269;1:+0.0263;3.A.1.1.46:+0.0248
377,0,beta-mannan,beta-mannan,0.9789036584055651,0.9789036584055651,GH130,GH130;GH26;GH5,GH130;GH26;GH5;HTH;2,GH130:+0.0608;GH26:+0.0440;GH5:+0.0411;HTH:+0.0283;2:+0.0271
380,0,beta-mannan,beta-mannan,0.78940995609308,0.78940995609308,GH130,GH130;CE7;null,GH130;CE7;null;GH27;LacI,GH130:+0.2639;CE7:+0.0759;null:+0.0074;GH27:+0.0014;LacI:+0.0007
382,0,beta-mannan,beta-mannan,0.9999999999988423,0.9999999999988423,31,31;LacI;GH13,31;LacI;GH13;GH32;null,31:+0.6419;LacI:+0.5058;GH13:+0.4269;GH32:+0.3268;null:+0.2182
384,0,beta-mannan,beta-mannan,0.5242392301101744,0.5242392301101744,GH130,GH130;GH113;1,GH130;GH113;1;CE2;bac,GH130:+0.3458;GH113:+0.0704;1:+0.0357;CE2:+0.0299;bac:+0.0247
391,0,beta-mannan,beta-glucan,0.07134338283986053,0.546119898358428,GH3,GH3,GH3,GH3:+0.0579
397,0,beta-mannan,galactan,0.40230456565252376,0.45552084244402913,GH42,GH42;3.A.1,GH42;3.A.1,GH42:+0.3953;3.A.1:-0.2228
408,0,beta-mannan,beta-mannan,0.5053235609228351,0.5053235609228351,GH35,GH35;null;GH42,GH35;null;GH42;LacI;3.A.1,GH35:+0.2595;null:+0.2145;GH42:+0.1595;LacI:+0.1440;3.A.1:+0.0730
423,0,beta-mannan,galactan,0.13962163363181565,0.8562353758906787,GH42,GH42;3.A.1.1.48;1,GH42;3.A.1.1.48;1;bac;SBP,GH42:+0.0527;3.A.1.1.48:+0.0020;1:-0.1523;bac:-0.1658;SBP:-0.1841
433,0,chitin,chitin,0.9853376363793798,0.9853376363793798,GH4,GH4;null;4.A.3.2.1,GH4;null;4.A.3.2.1;4.A.3.2.7,GH4:+0.2616;null:+0.0943;4.A.3.2.1:+0.0434;4.A.3.2.7:+0.0381
434,0,chitin,chitin,0.9752398490501528,0.9752398490501528,4.A.3.2.5,4.A.3.2.5;AraC;GH1,4.A.3.2.5;AraC;GH1;HTH,4.A.3.2.5:+0.2996;AraC:+0.2756;GH1:+0.2511;HTH:+0.2096
435,0,chitin,chitin,0.9999091267569834,0.9999091267569834,AraC,AraC;HTH;4.A.3.2.5,AraC;HTH;4.A.3.2.5;GH1;null,AraC:+0.3850;HTH:+0.3241;4.A.3.2.5:+0.3233;GH1:+0.1808;null:+0.0247
439,0,chitin,chitin,0.9999999999988423,0.9999999999988423,AA10,AA10;1;GH18,AA10;1;GH18;HTH;1.E.2.1.11,AA10:+0.1512;1:+0.0381;GH18:+0.0364;HTH:+0.0190;1.E.2.1.11:+0.0060
447,0,chitin,chitin,0.558751086293896,0.558751086293896,GH18,GH18;CBM5,GH18;CBM5,GH18:+0.2821;CBM5:+0.2192
450,0,chitin,chitin,0.9999999999988423,0.9999999999988423,1.B.25.1.13,1.B.25.1.13;GH20;null,1.B.25.1.13;GH20;null,1.B.25.1.13:+0.3338;GH20:+0.2618;null:+0.0908
452,0,chitin,chitin,0.9999999999988423,0.9999999999988423,GH4,GH4;4.A.3.2.7;null,GH4;4.A.3.2.7;null;4.A.3.2.1,GH4:+0.2503;4.A.3.2.7:+0.0853;null:+0.0543;4.A.3.2.1:+0.0070
453,0,chitin,chitin,0.9999999999988423,0.9999999999988423,CE4,CE4;GH4;4.A.3.2.6,CE4;GH4;4.A.3.2.6,CE4:+0.2546;GH4:+0.1531;4.A.3.2.6:+0.1104
464,0,chitin,chitin,0.9999999999988423,0.9999999999988423,4.A.3.2.7,4.A.3.2.7;GH4;null,4.A.3.2.7;GH4;null;AraC;HTH,4.A.3.2.7:+0.3610;GH4:+0.2130;null:+0.0682;AraC:+0.0097;HTH:+0.0070
472,0,chitin,chitin,0.7649235443403283,0.7649235443403283,GH20,GH20;PAS;HisKA,GH20;PAS;HisKA;Response;c,GH20:+0.1691;PAS:+0.1357;HisKA:+0.0970;Response:+0.0768;c:+0.0743
474,0,chitin,chitin,0.9416100789629889,0.9416100789629889,GH4,GH4;4.A.3.2.1;AraC,GH4;4.A.3.2.1;AraC;HTH;4.A.3.2.7,GH4:+0.2870;4.A.3.2.1:+0.1781;AraC:+0.0549;HTH:+0.0324;4.A.3.2.7:+0.0078
477,0,chitin,chitin,0.9999999999988423,0.9999999999988423,4.A.3.2.1,4.A.3.2.1;GH4;HTH,4.A.3.2.1;GH4;HTH;AraC;null,4.A.3.2.1:+0.2455;GH4:+0.1787;HTH:+0.0188;AraC:+0.0159;null:+0.0000
483,0,chitin,chitin,0.9999999999988423,0.9999999999988423,4.A.3.2.7,4.A.3.2.7;GH4;AraC,4.A.3.2.7;GH4;AraC;HTH;null,4.A.3.2.7:+0.3610;GH4:+0.1720;AraC:+0.0083;HTH:+0.0022;null:+0.0000
491,0,fructan,alpha-glucan,0.04613639139013744,0.7600373191958425,GH32,GH32;HTH;3.A.1,GH32;HTH;3.A.1;Mga;LacI,GH32:+0.0391;HTH:+0.0359;3.A.1:+0.0254;Mga:-0.0089;LacI:-0.0931
498,0,fructan,fructan,0.9999999999988423,0.9999999999988423,GH32,GH32;2.A.1.7.17;1.B.14.6.1,GH32;2.A.1.7.17;1.B.14.6.1;PfkB;null,GH32:+0.1005;2.A.1.7.17:+0.0132;1.B.14.6.1:+0.0039;PfkB:+0.0034;null:+0.0032
502,0,fructan,fructan,0.6230788353501296,0.6230788353501296,GH68,GH68;GH32;2.A.3,GH68;GH32;2.A.3,GH68:+0.5395;GH32:+0.0755;2.A.3:-0.0197
507,0,fructan,fructan,0.9999999999988423,0.9999999999988423,3.A.1.1.10,3.A.1.1.10;3.A.1.1.29;null,3.A.1.1.10;3.A.1.1.29;null;LacI;GH32,3.A.1.1.10:+1.0000;3.A.1.1.29:+1.0000;null:+0.0998;LacI:+0.0610;GH32:+0.0543
508,0,fructan,alpha-glucan,1.0524412454703201e-13,0.9686671265113727,3.A.1.1.20,3.A.1.1.20;GH32;LacI,3.A.1.1.20;GH32;LacI,3.A.1.1.20:+0.0000;GH32:-0.0000;LacI:-0.0845
514,0,fructan,alpha-glucan,0.18653500184270458,0.46563368114988835,null,null;GH32;LacI,null;GH32;LacI;4.A.1,null:+0.1630;GH32:+0.0961;LacI:-0.0400;4.A.1:-0.0479
523,0,galactan,galactan,0.9999999999988423,0.9999999999988423,GH4,GH4;AraC;HTH,GH4;AraC;HTH;2.A.2.1.1,GH4:+0.1914;AraC:+0.1286;HTH:+0.1249;2.A.2.1.1:+0.0000
524,0,galactan,galactan,0.9999999999988423,0.9999999999988423,3.A.1.1.28,3.A.1.1.28;GH36;MarR,3.A.1.1.28;GH36;MarR;null;SBP,3.A.1.1.28:+0.0761;GH36:+0.0611;MarR:+0.0364;null:+0.0079;SBP:+0.0029
528,0,galactan,galactan,0.5890497535651905,0.5890497535651905,3.A.1.1.2,3.A.1.1.2;LacI;GH42,3.A.1.1.2;LacI;GH42;GH53;CBM61,3.A.1.1.2:+0.4395;LacI:+0.1324;GH42:+0.1073;GH53:-0.1399;CBM61:-0.4109
544,0,galactan,pectin,1.0524412454703199e-13,0.9999999999988423,GH53,GH53;GH2;GH147,GH53;GH2;GH147;null;AraC,GH53:-0.0041;GH2:-0.0108;GH147:-0.0284;null:-0.0289;AraC:-0.0359
545,0,galactan,pectin,0.030495401077819412,0.8331088922173889,GH53,GH53;null;GH2,GH53;null;GH2;HTH;AraC,GH53:+0.0179;null:-0.0288;GH2:-0.0446;HTH:-0.0575;AraC:-0.0678
553,0,galactan,beta-glucan,0.3631576441949614,0.5102081019646545,GH42,GH42;LacI;3.A.1,GH42;LacI;3.A.1;Peripla;BP,GH42:+0.2102;LacI:+0.1608;3.A.1:-0.1112;Peripla:-0.1273;BP:-0.1348
554,0,galactan,galactan,0.7234746364312121,0.7234746364312121,GH16,GH16;GH117;null,GH16;GH117;null;GH29;16,GH16:+0.1232;GH117:+0.0784;null:+0.0667;GH29:+0.0553;16:+0.0445
555,0,galactan,galactan,0.783634865860482,0.783634865860482,GH16,GH16;GH117;null,GH16;GH117;null;GH86;GH50,GH16:+0.1674;GH117:+0.0759;null:+0.0696;GH86:+0.0543;GH50:+0.0431
561,0,galactan,galactan,0.7692723631299578,0.7692723631299578,GH53,GH53;8.A.46.1.1;HTH,GH53;8.A.46.1.1;HTH;AraC;1.B.14.6.1,GH53:+0.6197;8.A.46.1.1:+0.2401;HTH:+0.1634;AraC:+0.1252;1.B.14.6.1:+0.0145
566,0,galactan,galactan,0.5280151695120523,0.5280151695120523,3.A.1.1.28,3.A.1.1.28;18;GH36,3.A.1.1.28;18;GH36;31;GH13,3.A.1.1.28:+0.2966;18:+0.2138;GH36:+0.1921;31:+0.0782;GH13:+0.0694
570,0,galactan,galactan,0.7607447085422501,0.7607447085422501,null,null;GntR;GH16,null;GntR;GH16;2.A.1;1.B.14,null:+0.3564;GntR:+0.3508;GH16:+0.2282;2.A.1:+0.1281;1.B.14:+0.1125
