idx,y_true,pred_cpu,pred_ft,pred_trans,nov_cpu_view,nov_ft_view,cpu_correct,ft_correct,trans_correct
64,alpha-glucan,beta-glucan,alpha-glucan,alpha-glucan,0.0,0.0,0,1,1
65,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.3333333333333333,0.3333333333333333,1,1,0
66,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
67,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
68,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
69,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
70,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
71,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
72,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
73,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
74,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
75,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
76,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
77,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
78,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
79,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
80,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
81,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
82,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
83,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
84,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
85,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
86,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.16666666666666666,1,1,1
87,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
88,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.2,1,1,1
89,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
90,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
91,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.0,1,1,0
92,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
93,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
94,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.4,1,1,1
95,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.3333333333333333,1,1,1
96,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
97,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
98,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.1111111111111111,0.2222222222222222,1,1,1
99,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.2,1,1,1
100,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.16666666666666666,1,1,1
101,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
102,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
103,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.5,1,1,0
104,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
105,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.0,1,1,0
106,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.0,1,1,0
107,alpha-glucan,host glycan,fructan,fructan,0.25,0.3333333333333333,0,0,0
108,alpha-glucan,alpha-glucan,fructan,fructan,0.0,0.0,1,0,0
109,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
110,alpha-glucan,alpha-glucan,alpha-glucan,galactan,0.0,0.0,1,1,0
111,alpha-glucan,alpha-glucan,alpha-glucan,galactan,0.0,0.5,1,1,0
112,alpha-glucan,alpha-glucan,alpha-glucan,galactan,0.0,0.3333333333333333,1,1,0
113,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
114,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.07692307692307693,0.08333333333333333,1,1,1
115,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
116,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
117,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
118,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
119,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
120,alpha-glucan,host glycan,host glycan,alpha-glucan,0.0,0.0,0,0,1
121,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
122,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
123,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
124,alpha-glucan,alpha-glucan,alpha-glucan,galactan,0.0,0.0,1,1,0
125,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
126,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
127,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
128,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
129,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
130,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
131,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
132,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
133,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
134,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.3333333333333333,1,1,1
135,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
136,alpha-glucan,fructan,fructan,alpha-glucan,0.0,0.16666666666666666,0,0,1
137,alpha-glucan,alpha-glucan,fructan,fructan,0.0,0.0,1,0,0
138,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
139,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.2,1,1,1
140,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
141,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.3333333333333333,1,1,1
142,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
143,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
144,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.25,0.3333333333333333,1,1,1
145,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.0,1,1,0
146,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.0,1,1,0
147,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
148,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
149,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
150,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.125,1,1,1
151,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
152,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
153,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
154,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.125,1,1,1
155,alpha-glucan,fructan,fructan,fructan,0.5,0.5,0,0,0
156,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
157,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
158,alpha-glucan,fructan,fructan,fructan,0.5,0.5,0,0,0
159,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
160,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
161,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
162,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
163,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
164,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.0,1,1,0
165,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.25,0.25,1,1,1
166,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
167,alpha-glucan,fructan,fructan,alpha-glucan,0.0,0.16666666666666666,0,0,1
168,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
169,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
170,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
171,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
172,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
173,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
174,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
175,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
176,alpha-mannan,host glycan,host glycan,alpha-mannan,0.0,0.0,0,0,1
177,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.2857142857142857,1,1,1
178,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.25,1,1,1
179,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
180,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
181,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
182,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
183,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.1,0.0,1,1,1
184,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
185,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
186,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
187,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.25,1,1,1
188,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
189,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.2,1,1,1
190,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
191,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.2,0.0,1,1,1
192,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.14285714285714285,0.15384615384615385,1,1,1
193,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
194,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.2,1,1,1
195,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.2,1,1,1
196,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
197,alpha-mannan,alpha-mannan,alpha-mannan,alpha-mannan,0.0,0.0,1,1,1
198,arabinogalactan,arabinogalactan,arabinogalactan,pectin,0.0,0.0,1,1,0
199,arabinogalactan,arabinogalactan,arabinogalactan,pectin,0.0,0.0,1,1,0
200,arabinogalactan,xylan,xylan,arabinogalactan,0.0,0.3333333333333333,0,0,1
201,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
202,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
203,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.14285714285714285,0.2777777777777778,1,1,1
204,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
205,arabinogalactan,xylan,xylan,xylan,0.0,0.0,0,0,0
206,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.08333333333333333,0.1,1,1,1
207,arabinogalactan,pectin,pectin,xylan,0.16666666666666666,0.0,0,0,0
208,arabinogalactan,beta-glucan,arabinogalactan,host glycan,0.0,0.0,0,1,0
209,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
210,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
211,arabinogalactan,arabinogalactan,arabinogalactan,beta-glucan,0.0,0.0,1,1,0
212,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.16666666666666666,1,1,1
213,arabinogalactan,arabinogalactan,arabinogalactan,pectin,0.0,0.0,1,1,0
214,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
215,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
216,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
217,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
218,arabinogalactan,host glycan,host glycan,host glycan,0.0,0.0,0,0,0
219,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
220,arabinogalactan,pectin,pectin,arabinogalactan,0.0,0.0,0,0,1
221,arabinogalactan,host glycan,arabinogalactan,galactan,0.1111111111111111,0.0,0,1,0
222,arabinogalactan,beta-mannan,galactan,beta-mannan,0.125,0.16666666666666666,0,0,0
223,arabinogalactan,arabinogalactan,arabinogalactan,pectin,0.0,0.0,1,1,0
224,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.16666666666666666,1,1,1
225,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.14285714285714285,1,1,1
226,arabinogalactan,pectin,pectin,arabinogalactan,0.0,0.1111111111111111,0,0,1
227,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
228,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
229,arabinogalactan,arabinogalactan,alpha-glucan,galactan,0.2857142857142857,0.3333333333333333,1,0,0
230,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
231,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
232,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
233,arabinogalactan,arabinogalactan,arabinogalactan,arabinogalactan,0.0,0.0,1,1,1
234,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.25,1,1,1
235,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.5,1,1,1
236,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
237,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
238,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
239,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
240,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
241,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
242,beta-glucan,beta-glucan,beta-glucan,xylan,0.0,0.6666666666666666,1,1,0
243,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.5,1,1,1
244,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.2857142857142857,1,1,1
245,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.375,1,1,1
246,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.09090909090909091,0.2222222222222222,1,1,1
247,beta-glucan,beta-glucan,host glycan,chitin,0.18181818181818182,0.0,1,0,0
248,beta-glucan,beta-glucan,beta-glucan,host glycan,0.0,0.5,1,1,0
249,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.16666666666666666,1,1,1
250,beta-glucan,beta-mannan,beta-glucan,chitin,0.0,0.25,0,1,0
251,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
252,beta-glucan,beta-glucan,xylan,beta-glucan,0.047619047619047616,0.0,1,0,1
253,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.18181818181818182,0.0,1,1,1
254,beta-glucan,beta-glucan,beta-glucan,xylan,0.0,0.0,1,1,0
255,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
256,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
257,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
258,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
259,beta-glucan,xylan,xylan,xylan,0.0,0.0,0,0,0
260,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.4,0.4,1,1,1
261,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.5,1,1,1
262,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.3333333333333333,1,1,1
263,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
264,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.25,0.0,1,1,1
265,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
266,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.2,0.4444444444444444,1,1,1
267,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.2857142857142857,1,1,1
268,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
269,beta-glucan,beta-mannan,beta-mannan,beta-mannan,0.0,0.08333333333333333,0,0,0
270,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
271,beta-glucan,beta-glucan,host glycan,arabinogalactan,0.0,0.0,1,0,0
272,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
273,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
274,beta-glucan,beta-mannan,beta-mannan,beta-mannan,0.0,0.25,0,0,0
275,beta-glucan,beta-glucan,beta-glucan,host glycan,0.0,0.0,1,1,0
276,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.2,1,1,1
277,beta-glucan,xylan,host glycan,beta-glucan,0.0,0.0,0,0,1
278,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
279,beta-glucan,xylan,xylan,host glycan,0.0,0.0,0,0,0
280,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
281,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
282,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
283,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
284,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
285,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
286,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
287,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
288,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.08333333333333333,1,1,1
289,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.08333333333333333,1,1,1
290,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
291,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
292,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
293,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
294,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
295,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
296,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
297,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.2,0.0,1,1,1
298,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.1,0.0,1,1,1
299,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
300,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
301,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
302,beta-glucan,beta-mannan,beta-mannan,beta-mannan,0.0,0.0,0,0,0
303,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.3333333333333333,1,1,1
304,beta-glucan,chitin,beta-mannan,beta-glucan,0.0,0.0,0,0,1
305,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.09090909090909091,1,1,1
306,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
307,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.0,1,1,1
308,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.4,0.4,1,1,1
309,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.0,0.5,1,1,1
310,beta-glucan,beta-glucan,beta-glucan,beta-glucan,0.5,0.0,1,1,1
