locus_id,sequence
contig5|CGC43,"GH38,GH125,GntR,GH84,GH1,3.A.1.1.9,3.A.1.1.29"
contig5|CGC44,"GH3,3.A.1.1.2,3.A.1.1.21,3.A.1.1.21,LacI"
contig5|CGC45,"GntR,4.A.3.2.9,4.A.3.2.7,4.A.3.2.9,1.B.3.1.3,GH1"
contig5|CGC46,"null,GH76,null,null,null,1.B.14.6.1,null,HTH_AraC,GH92,null,GH76,GH125,GH130_3,null,null,null,GT32,GT32"
contig5|CGC47,"GH115,GH95,HTH_AraC,GH43_29|CBM6,CE6|CE1,GH5_21,null,GH10,null,null,null,null,1.B.14.6.1,GH43_12|CBM91,GH43_29|CBM6,GH97,GH31_4,GH43_12|CBM91,GH3,GH43_10|CBM91"
contig5|CGC48,"GH92,GH38|CBM32,GT32,GT32,null,null,null,GH130,GH125,GH76,null,GH92,null,HTH_AraC,null,1.B.14,null,null,null,GH76"
contig5|CGC49,"null,null,null,null,null,GH110,GH110,null,null,1.B.14.6.1"
contig5|CGC50,"null,1.B.14,null,null,2.A.66,GH28,null"
contig6|CGC51,"GH4,4.A.3.2.7,4.A.3.2.7,4.A.3.2.7,null,null"
contig6|CGC52,"GH32,GH32,null,null,1.B.14.6.1,null,GH32"
contig6|CGC53,"CE1,null,GH43_7|GH43_7,1.B.14,null,CE6|CE1,CE1,null,GH43_17,GH3,GH43_2|CBM6,HTH_AraC|HTH_AraC"
contig6|CGC54,"GH105,CE8,CE12|CE8,HTH_AraC,null,null,1.B.14,PL1_2,PL1_2,9.B.116,LytTR,PL1_2,null,1.B.14,null,GH28,HTH_AraC|HTH_AraC"
contig6|CGC55,"LacI,1.B.3,GH42,GH53,3.A.1,3.A.1,3.A.1,3.A.1,null"
contig6|CGC56,"GerE,1.B.14,null,null,GH144,GH144,CE1,GH3,null,BLUF,null,null,null,null,null,null,null,PL6|PL6_1,PL12,PL6|PL6_1,PL17_2|PL17,AraC_binding,null,null,1.B.14,8.A.46,GntR,2.A.1,null,LacI,PfkB,null,null,TPR_2,Response_reg,null,null,null"
contig6|CGC57,"PfkB,AraC_binding,null,PL15_1,3.A.1,3.A.1,3.A.1,null"
contig6|CGC58,"null,Sigma70_r2|Sigma70_r4_2,PL29,PL1_2,HTH_AraC,GH2,GH139,CE20,GH106,null,3.A.3.4.1,HisKA|HATPase_c,Trans_reg_C,GH2,GH2,HisKA|HATPase_c,HTH_AraC,GH137|GH2|CBM57|CBM97,GH138,2.A.21.9.2,null,GH78,GH141,GH127,null,Nitroreductase,null,null,null,GH95,GH105,GH140,CBM67|GH78|GH33,null,null,CE19,GH28,CBM67|GH78,GH143|GH142,GH43_18,null,PL1_2,null,1.B.14.6.1,null,null,1.B.14.6.2,null"
contig6|CGC59,"GH18,GH18,null,null,8.A.46.2.2,1.B.14.6.13"
contig6|CGC60,"GH18|CBM5,AA10|CBM5,GH18"
contig7|CGC61,"GH51,GH146,null,null,null,null,NUDIX,2.A.21,null,null,null,null,GH43_4,null,1.B.14,null,1.B.14,null,HTH_AraC|HTH_AraC,GH43_4,GH51,GH43_29"
contig7|CGC62,"GH26,null,null,GntR,GH1,4.A.3.2.8,4.A.3.2.8,4.A.3.2.6"
contig7|CGC63,"PfkB,2.A.1.7.17,GH32"
contig7|CGC64,"GH65,null,GH13,null,8.A.46,1.B.14,LacI,CBM32|CBM32"
contig7|CGC65,"null,null,null,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,PfkB,null,GntR,CBM32|PL7_5,1.B.14.12.1,PL6_3,PL7_5"
contig7|CGC66,"GH2,2.A.21,null,null,3.D.1,null,GH96,GH96,null,null,2.A.1,GH50,GH50,null,GH50,GH29,null,SBP_bac_1,TrmB,null,null,null,null,null,null,null,null,null,null,null,1.B.14,null,GntR,GH50,1.B.14,null,null,null,GH86,null,3.A.1,3.A.1,3.A.1,3.A.1,null,PfkB,GH117|GH117,null,null,null,null,null,null,Pyr_redox_2"
contig7|CGC67,"null,GH26|GH5_4,GH5_7,null,null,null,null,1.B.14,HTH_AraC|HTH_AraC,null,2.A.2,GH130,GH26,CE7,null,GH36,GH3,null"
contig7|CGC68,"null,2.A.2.2.1,GH36,null,GH2"
contig7|CGC69,"HTH_AraC|HTH_AraC,1.B.14.6.1,null,null,GH10"
contig7|CGC70,"null,null,1.B.14.6.1,null,null,PL7,PL7,GntR,null"
contig8|CGC71,"GT5,null,null,CBM48|GH13_9"
contig8|CGC72,"1.B.14,8.A.46,null,null,GH43_12,null,GH5_4,HTH_AraC|HTH_AraC,GH31,GH2,GH3,null,GH95"
contig8|CGC73,"HTH_AraC|HTH_AraC,GH3,GH95,GH10|CE1"
contig8|CGC74,"GH4,4.A.3.2.1,4.A.3.2.7,4.A.3.2.7,null,null"
contig8|CGC75,"PfkB,GH36,GH13_31,LacI,GH32,GH13_18,3.A.1.1.45,3.A.1.1.45,null"
contig8|CGC76,"null,null,GH43_11,2.A.2,2.A.1,null,null"
contig8|CGC77,"null,null,null,null,null,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,GH51_1"
contig8|CGC78,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,GH99"
contig8|CGC79,"LacI,3.A.1.1.10,3.A.1.1.29,null,GH32"
contig8|CGC80,"null,1.B.14,null,GH30_3,null,GH3"
contig9|CGC81,"SBP_bac_1,3.A.1.1.37,3.A.1.1.24,GH13_30,GH36"
contig9|CGC82,"GH32,PfkB,GH32"
contig9|CGC83,"CBM82|CBM83|GH13_41,null,HTH_1,Pyr_redox_2"
contig9|CGC84,"GH95,null,GH140,CBM67|GH78|GH33,null,null,GH28,CBM67|GH78,GH43_18,null,PL1_2,null,null,null,1.B.14,null,GH92"
contig9|CGC85,"HTH_AraC|HTH_AraC,SBP_bac_1,GH3,GH95,GH10|CE1"
contig9|CGC86,"null,GntR,SIS|SIS,CE9,GH35,4.A.6.1.18,4.A.6.1.18,4.A.6.1.18,4.A.6.1.18"
contig9|CGC87,"null,9.B.154.1.2,null,null,null,Peptidase_M23,null,null,GH73,null,null"
contig9|CGC88,"GH2,2.A.21,null,null,3.D.1,null,GH96,GH96,null,null,2.A.1,GH50,GH50,null,null,GH29,null,SBP_bac_1,TrmB,null,null,null,null,null,null,null,null,null,null,null,null,1.B.14,null,GntR,GH50,1.B.14,null,null,null,GH86,null,3.A.1,3.A.1,3.A.1,3.A.1,null,PfkB,GH117|GH117"
contig9|CGC89,"GntR,PL7_5,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,null,PfkB,null,null,null,SBP_bac_3,PL6,PL6,null,CBM16|CBM32|PL18"
contig9|CGC90,"Pyr_redox_2,CBM48|GH13_9,null,null,GT5,GT35,GH13_39,null,null,null"
contig10|CGC91,"GH43_29,GH51_2,GH43_4,HTH_AraC|HTH_AraC,null,1.B.14.6.1,null,1.B.14.6.1,null,GH43_4"
contig10|CGC92,"PL17_2|PL17,PL6|PL6_1,null,8.A.46,1.B.14,null,GntR"
contig10|CGC93,"CE17|CBM35,GH113,CE2,LacI,SBP_bac_1,3.A.1.1.46,3.A.1.1.34,GH130_2,null,GH130_1,9.B.28.1.2,null,null"
contig10|CGC94,"GH43_24|GH16,GH16,null,null,1.B.14,null,1.B.14,null,HTH_AraC"
contig10|CGC95,"GH1,8.A.49,null,null,CE2,GH130,GH130,null,3.A.1,3.A.1,SBP_bac_1,LacI,GH36,null,GH113"
contig10|CGC96,"null,null,CE1,CE1,null,null,null,1.B.14.6.1"
contig10|CGC97,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,9.B.14.1.10,null"
contig10|CGC98,"GH92,GH125,GH38,null,GH20"
contig10|CGC99,"null,4.A.1,null,GH32,LacI"
contig10|CGC100,"GH146,1.B.14,null,null,GH43_29,GH121,1.B.14,null,null"
