locus_id,sequence,n_genes_in_locus,n_genes_model_recognises,outcome,predicted_substrate,probability
unsup_moderate_022,"3.A.1,3.A.1,3.A.1,null,null,null,null,GT2,2.A.25,null,9.B.97,null,9.B.18",13,5,no substrate beat chance,beta-glucan,0.6715
unsup_moderate_023,"GH31,TetR_N,2.A.1",3,4,no substrate beat chance,alpha-glucan,0.4808
unsup_moderate_024,"9.B.106,FHA,FHA,null,null,2.A.85,HTH_1,GT2,3.A.1,3.A.1,3.A.1,3.A.1",12,6,no substrate beat chance,beta-glucan,0.7992
unsup_moderate_025,"1.A.8,null,HTH_AraC,GH35",4,4,no substrate beat chance,host glycan,0.4689
unsup_moderate_026,"1.B.14,3.A.1,null,null,null,null,GT2,null,GT2,GT4,CBM50",11,5,call beats chance,beta-glucan,0.8746
unsup_moderate_027,"2.A.37,GH13_39,GT35,GT5,null,null,GH13_9,null,1.A.11",9,4,call beats chance,alpha-glucan,0.9969
unsup_moderate_028,"GH13_14,null,null,4.A.2,HTH_11,HTH_11,4.A.2,null,null,null,null,8.A.7,8.A.8,4.A.1",14,4,no substrate beat chance,alpha-glucan,0.6774
unsup_moderate_029,"GH64,GerE,HTH_AraC,HTH_AraC,null,null,2.A.28",7,6,no substrate beat chance,host glycan,0.4763
unsup_moderate_030,"9.B.34,null,GH23,null,null,2.A.38,2.A.38,null,null,null,CBM50,3.A.11,null,null,null,null,4.C.1,null,null,null,1.B.39,null,null,null,Trans_reg_C,1.I.1",26,6,no substrate beat chance,host glycan,0.5262
unsup_sparse_001,"8.A.1,null,null,null,3.A.2,null,null,null,null,9.B.157,9.B.157,null,null,2.A.103,GH103,GH23,null,null,5.A.1,null,null,null,3.A.1,9.B.153",24,3,no substrate beat chance,host glycan,0.5807
unsup_sparse_002,"8.A.5,LacI,GH5_28,GH5_22",4,3,no substrate beat chance,beta-glucan,0.5444
unsup_sparse_003,"3.A.1,3.A.1,1.I.1,null,null,3.A.1,FHA,null,GH114",9,3,no substrate beat chance,host glycan,0.4676
unsup_sparse_004,"2.A.1,null,null,null,null,null,PL27",7,2,no substrate beat chance,alpha-glucan,0.3114
unsup_sparse_005,"2.A.6,2.A.6,null,ACT,null,GT2",6,3,call beats chance,beta-glucan,0.8102
unsup_sparse_006,"1.B.52,null,GH5_25,GT84,GH94",5,3,call beats chance,beta-glucan,0.8923
unsup_sparse_007,"CBM9,3.A.1,null,null,null,null,null,9.B.210,null,2.A.21,9.A.63",11,3,no substrate beat chance,pectin,0.3922
unsup_sparse_008,"GH13_5,null,3.A.3",3,2,call beats chance,alpha-glucan,0.9676
unsup_sparse_009,"3.A.25,2.A.7,null,null,3.A.1,null,null,null,CE9",9,3,call beats chance,host glycan,0.8872
unsup_sparse_010,"2.A.1,null,null,GH1,HHA,null,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6,HhH-GPD,null,2.A.17",15,2,no substrate beat chance,beta-glucan,0.507
unsup_sparse_011,"GT28,null,null,null,HTH_3,null,2.A.3,null,2.A.1",9,3,no substrate beat chance,arabinogalactan,0.5009
unsup_sparse_012,"1.B.35,null,CE0,null,null,null,GT2",7,2,no substrate beat chance,beta-glucan,0.5958
unsup_sparse_013,"4.C.1,null,9.B.96,9.B.96,9.B.96,9.B.96,null,9.B.96,TetR_N,null,null,null,GT4",13,3,no substrate beat chance,beta-glucan,0.3625
unsup_sparse_014,"3.A.1,3.A.1,null,1.B.12,null,null,0042628,2.A.95,null,2.A.111,null,null,GH23",13,2,no substrate beat chance,host glycan,0.7949
unsup_sparse_015,"GT2,null,GT1,null,null,null,GT1,null,ACT,null,null,null,3.B.1",13,2,no substrate beat chance,beta-glucan,0.8449
unsup_sparse_016,"3.A.1,GntR,GH0,null,2.A.51",5,2,no substrate beat chance,alginate,0.3599
unsup_sparse_017,"GT2,null,null,null,9.B.142,null,GT2",7,2,call beats chance,beta-glucan,0.9094
unsup_sparse_018,"GH10,null,null,null,3.D.7,null,null,null,3.A.2,3.A.2",10,3,call beats chance,xylan,0.693
unsup_sparse_019,"CBM50,3.A.1,2.A.20,null,null,null,2.A.6,2.A.6",8,3,no substrate beat chance,host glycan,0.7405
unsup_sparse_020,"CE9,null,GntR,9.B.146",4,2,call beats chance,host glycan,0.9931
unsup_sparse_021,"GH13_7,null,GH53,3.A.1",4,3,call beats chance,alpha-glucan,0.8229
unsup_sparse_022,"CBM12,null,null,null,null,null,3.A.3,null,null,2.A.53",10,2,no substrate beat chance,host glycan,0.3409
unsup_sparse_023,"GT4,null,null,3.A.4,null,Glucokinase,null,null,null,9.A.15",10,2,no substrate beat chance,beta-glucan,0.6423
unsup_sparse_024,"GT26,null,null,2.A.38,null,GT32",6,2,no substrate beat chance,host glycan,0.3002
unsup_sparse_025,"CBM6,null,null,2.A.6",4,2,no substrate beat chance,xylan,0.442
unsup_too_001,"9.B.146,null,null,2.A.103,GT28,null,null,null,null,3.A.1,null,null,null,null,1.A.14",15,1,withheld (fewer than 2 readable genes),host glycan,0.5644
unsup_too_002,"2.A.117,null,GT0,null,null,2.A.109,null,1.B.14,null,GH171",10,1,withheld (fewer than 2 readable genes),pectin,0.5611
unsup_too_003,"CE11,null,null,null,null,null,2.A.3",7,1,withheld (fewer than 2 readable genes),arabinogalactan,0.5284
unsup_too_004,"GT51,null,null,2.A.6",4,1,withheld (fewer than 2 readable genes),host glycan,0.6198
unsup_too_005,"CE4,null,null,null,null,null,GH12,null,null,9.B.96,null,9.B.96,null,1.C.113,null,null,CE14",17,1,withheld (fewer than 2 readable genes),chitin,0.4702
unsup_too_006,"2.A.9,CbiA,null,null,CBM50",5,0,withheld (fewer than 2 readable genes),host glycan,0.5185
unsup_too_007,"2.A.78,null,GH1",3,1,withheld (fewer than 2 readable genes),beta-glucan,0.5509
unsup_too_008,"GT4,null,null,null,3.A.4",5,1,withheld (fewer than 2 readable genes),beta-glucan,0.8359
unsup_too_009,"2.A.1,null,null,HD,null,null,GT0",7,1,withheld (fewer than 2 readable genes),alpha-glucan,0.4138
unsup_too_010,"GH92,9.B.115,9.B.186",3,1,withheld (fewer than 2 readable genes),host glycan,0.4701
unsup_too_011,"GT4,null,null,1.E.4",4,1,withheld (fewer than 2 readable genes),beta-glucan,0.8097
unsup_too_012,"3.A.9,null,null,GT30,null,null,null,3.A.6",8,0,withheld (fewer than 2 readable genes),host glycan,0.4992
unsup_too_013,"GH23,null,null,null,9.B.27",5,1,withheld (fewer than 2 readable genes),beta-glucan,0.5299
unsup_too_014,"3.D.10,3.D.10,GT19",3,0,withheld (fewer than 2 readable genes),host glycan,0.536
unsup_too_015,"GH23,1.A.87",2,0,withheld (fewer than 2 readable genes),host glycan,0.536
